"Status","Year","Organisation","Sexual_orientation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Heterosexual / straight","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Heterosexual / straight","Declared non-disabled","50","50","33060","29190"
"In post","2021","Accountant in Bankruptcy","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","Declared disabled","90","80","32080","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","Declared non-disabled","190","180","34500","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","Unknown","340","310","35680","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
