"Status","Year","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","AA/AO","200","200","21550","21050"
"In post","2021","Analysis","EO","730","700","26460","26130"
"In post","2021","Analysis","G6/G7","2420","2310","58400","56360"
"In post","2021","Analysis","SCS","160","150","88870","79590"
"In post","2021","Analysis","SEO/HEO","3700","3580","35850","36030"
"In post","2021","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","520","490","22110","21320"
"In post","2021","Commercial","EO","860","820","26820","26670"
"In post","2021","Commercial","G6/G7","1740","1700","61440","57170"
"In post","2021","Commercial","SCS","580","570","93050","74340"
"In post","2021","Commercial","SEO/HEO","3030","2950","38220","37910"
"In post","2021","Commercial","Unknown","240","230","41100","38240"
"In post","2021","Communications","AA/AO","510","450","21440","21130"
"In post","2021","Communications","EO","3200","3080","25780","25560"
"In post","2021","Communications","G6/G7","1070","1030","58050","56100"
"In post","2021","Communications","SCS","140","130","88640","82120"
"In post","2021","Communications","SEO/HEO","3300","3220","35760","34040"
"In post","2021","Counter Fraud","AA/AO","850","740","21470","21440"
"In post","2021","Counter Fraud","EO","3410","3210","26990","25560"
"In post","2021","Counter Fraud","G6/G7","1100","1060","57450","55010"
"In post","2021","Counter Fraud","SCS","40","40","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","4210","4010","35200","34170"
"In post","2021","Debt","AA/AO","3420","3070","20950","20140"
"In post","2021","Debt","EO","960","870","26830","25560"
"In post","2021","Debt","G6/G7","50","50","[c]","[c]"
"In post","2021","Debt","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SEO/HEO","250","230","34540","32100"
"In post","2021","Digital, Data & Technology","AA/AO","450","430","21840","21440"
"In post","2021","Digital, Data & Technology","EO","2280","2200","27440","26670"
"In post","2021","Digital, Data & Technology","G6/G7","3680","3590","57390","54910"
"In post","2021","Digital, Data & Technology","SCS","260","250","91370","85000"
"In post","2021","Digital, Data & Technology","SEO/HEO","6830","6630","37240","36970"
"In post","2021","Digital, Data & Technology","Unknown","100","100","37160","36000"
"In post","2021","Finance","AA/AO","1490","1260","21110","20920"
"In post","2021","Finance","EO","1690","1600","26450","26670"
"In post","2021","Finance","G6/G7","2070","2020","58640","57540"
"In post","2021","Finance","SCS","280","280","91170","85000"
"In post","2021","Finance","SEO/HEO","3820","3690","37330","36820"
