"Status","Year","Responsibility_level","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Female","Commercial","160","150","22370","21710"
"In post","2021","AA/AO","Female","Communications","140","130","22170","21590"
"In post","2021","AA/AO","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Counter Fraud","40","30","[c]","[c]"
"In post","2021","AA/AO","Female","Digital, Data and Technology","190","180","21760","21420"
"In post","2021","AA/AO","Female","Economics","40","40","[c]","[c]"
"In post","2021","AA/AO","Female","Finance","810","660","21400","21440"
"In post","2021","AA/AO","Female","Human Resources","890","790","21650","21130"
"In post","2021","AA/AO","Female","Intelligence Analysis","80","70","23380","22600"
"In post","2021","AA/AO","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Knowledge and Information Management","200","190","22130","21580"
"In post","2021","AA/AO","Female","Legal","170","150","21340","21440"
"In post","2021","AA/AO","Female","Medicine","320","300","22170","22640"
"In post","2021","AA/AO","Female","Operational Delivery","44890","38440","22040","21430"
"In post","2021","AA/AO","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Other","4620","4300","21330","21130"
"In post","2021","AA/AO","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Policy","520","490","23310","23350"
"In post","2021","AA/AO","Female","Project Delivery","230","210","21650","21130"
"In post","2021","AA/AO","Female","Property","440","400","20210","20920"
"In post","2021","AA/AO","Female","Psychology","70","60","21300","21300"
"In post","2021","AA/AO","Female","Science and Engineering","510","470","22130","21570"
"In post","2021","AA/AO","Female","Security","800","770","24970","21130"
"In post","2021","AA/AO","Female","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Tax","2010","1850","20290","20140"
"In post","2021","AA/AO","Female","Unknown","22160","18220","21230","21010"
"In post","2021","AA/AO","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Commercial","110","100","22760","21590"
"In post","2021","AA/AO","Male","Communications","100","100","22340","21580"
"In post","2021","AA/AO","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Digital, Data and Technology","250","250","22030","21590"
"In post","2021","AA/AO","Male","Economics","50","50","22680","22500"
"In post","2021","AA/AO","Male","Finance","360","330","21440","21130"
"In post","2021","AA/AO","Male","Human Resources","320","320","21650","21130"
"In post","2021","AA/AO","Male","Intelligence Analysis","50","40","[c]","[c]"
"In post","2021","AA/AO","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Knowledge and Information Management","130","130","22070","21130"
"In post","2021","AA/AO","Male","Legal","130","130","21720","21030"
"In post","2021","AA/AO","Male","Medicine","30","30","[c]","[c]"
"In post","2021","AA/AO","Male","Operational Delivery","36050","34240","24100","22080"
"In post","2021","AA/AO","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Other","3230","3150","21150","20720"
"In post","2021","AA/AO","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Policy","270","270","23730","23830"
"In post","2021","AA/AO","Male","Project Delivery","90","90","21970","21440"
"In post","2021","AA/AO","Male","Property","580","560","19240","18760"
"In post","2021","AA/AO","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Science and Engineering","890","870","21490","21930"
"In post","2021","AA/AO","Male","Security","4620","4540","27170","22650"
"In post","2021","AA/AO","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Tax","1780","1720","20230","20140"
"In post","2021","AA/AO","Male","Unknown","12190","11640","21430","21010"
"In post","2021","AA/AO","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Commercial","420","390","25870","26400"
"In post","2021","EO","Female","Communications","370","350","27400","26970"
