"Status","Year","Ethnicity","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Communications","30","30","[c]","[c]"
"In post","2021","Asian","Declared disabled","Counter Fraud","50","40","[c]","[c]"
"In post","2021","Asian","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Digital, Data & Technology","60","50","37220","32970"
"In post","2021","Asian","Declared disabled","Finance","40","40","[c]","[c]"
"In post","2021","Asian","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Human Resources","60","60","40290","36220"
"In post","2021","Asian","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Legal","110","100","42080","38190"
"In post","2021","Asian","Declared disabled","No function","790","740","30980","28200"
"In post","2021","Asian","Declared disabled","Project Delivery","90","80","41140","38630"
"In post","2021","Asian","Declared disabled","Property","30","30","[c]","[c]"
"In post","2021","Asian","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Unknown","1400","1260","29150","27570"
"In post","2021","Asian","Declared non-disabled","Analysis","320","310","43410","40000"
"In post","2021","Asian","Declared non-disabled","Commercial","210","210","41860","35670"
"In post","2021","Asian","Declared non-disabled","Communications","400","390","32850","29810"
"In post","2021","Asian","Declared non-disabled","Counter Fraud","450","440","32760","31810"
"In post","2021","Asian","Declared non-disabled","Debt","270","240","23260","21440"
"In post","2021","Asian","Declared non-disabled","Digital, Data & Technology","600","590","42030","38000"
"In post","2021","Asian","Declared non-disabled","Finance","590","570","38630","35300"
"In post","2021","Asian","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Human Resources","340","320","36750","32960"
