"Status","Year","Region_ITL1","Region_ITL2","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Analysis","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Commercial","110","100","41270","39210"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Communications","490","470","29530","25560"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Counter Fraud","520","490","33460","31810"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Debt","250","220","21470","20140"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Digital, Data & Technology","200","200","39510","36410"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Finance","190","180","37680","32650"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Grants Management","60","60","25370","25100"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Human Resources","440","410","37660","32100"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Legal","410","370","36710","31810"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","No function","6420","5970","30670","27130"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Project Delivery","300","280","42280","38630"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Property","330","310","37260","33300"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Security","80","80","33610","33200"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","2440","2170","26260","27570"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Commercial","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Digital, Data & Technology","80","80","33470","30990"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Human Resources","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Legal","190","170","40220","43160"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","No function","3530","3240","26740","24440"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Project Delivery","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Property","100","90","23220","18800"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","2140","1930","26400","27570"
"In post","2021","East Midlands (England)","Lincolnshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Finance","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Human Resources","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","No function","1040","980","28510","26750"
"In post","2021","East Midlands (England)","Lincolnshire","Project Delivery","310","300","34880","33560"
"In post","2021","East Midlands (England)","Lincolnshire","Property","70","70","27600","26670"
"In post","2021","East Midlands (England)","Lincolnshire","Security","60","50","20830","19560"
"In post","2021","East Midlands (England)","Lincolnshire","Unknown","1190","1100","26120","25930"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Commercial","40","30","[c]","[c]"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Debt","40","30","[c]","[c]"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Digital, Data & Technology","80","80","36050","34820"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Finance","100","100","43580","37640"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Human Resources","50","50","36520","31780"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Legal","200","180","42770","40000"
"In post","2021","East of England","Bedfordshire and Hertfordshire","No function","1630","1540","29910","28200"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Project Delivery","200","190","40080","37640"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Security","80","80","25590","22650"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Unknown","2040","1890","32130","29290"
"In post","2021","East of England","East Anglia","Analysis","360","340","34490","30220"
"In post","2021","East of England","East Anglia","Commercial","350","340","41120","37280"
"In post","2021","East of England","East Anglia","Communications","50","50","32880","30660"
"In post","2021","East of England","East Anglia","Counter Fraud","380","350","28070","25560"
"In post","2021","East of England","East Anglia","Debt","50","40","[c]","[c]"
"In post","2021","East of England","East Anglia","Digital, Data & Technology","170","160","33990","31500"
"In post","2021","East of England","East Anglia","Finance","150","140","35180","31240"
"In post","2021","East of England","East Anglia","Grants Management","50","40","[c]","[c]"
"In post","2021","East of England","East Anglia","Human Resources","130","120","35430","31400"
"In post","2021","East of England","East Anglia","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","East Anglia","Legal","170","150","38660","35060"
"In post","2021","East of England","East Anglia","No function","5520","5160","30440","28080"
