"Status","Year","Ethnicity","Sex","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Female","Declared disabled","1580","1410","31310","28650"
"In post","2021","Asian","Female","Declared non-disabled","12880","11600","32000","28760"
"In post","2021","Asian","Female","Undeclared","680","610","32300","28840"
"In post","2021","Asian","Female","Unknown","1180","1100","35930","31810"
"In post","2021","Asian","Male","Declared disabled","1180","1130","31950","29040"
"In post","2021","Asian","Male","Declared non-disabled","10130","9860","33000","29080"
"In post","2021","Asian","Male","Undeclared","550","530","32290","29290"
"In post","2021","Asian","Male","Unknown","980","950","37160","32540"
"In post","2021","Black","Female","Declared disabled","1330","1240","31890","30330"
"In post","2021","Black","Female","Declared non-disabled","7660","7280","32270","30220"
"In post","2021","Black","Female","Undeclared","470","440","31300","30240"
"In post","2021","Black","Female","Unknown","590","570","35600","31310"
"In post","2021","Black","Male","Declared disabled","480","470","32460","30330"
"In post","2021","Black","Male","Declared non-disabled","4400","4330","33320","31060"
"In post","2021","Black","Male","Undeclared","310","300","33320","31650"
"In post","2021","Black","Male","Unknown","350","340","36900","33060"
"In post","2021","Black","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Declared disabled","50","40","31000","29080"
"In post","2021","Chinese","Female","Declared non-disabled","580","540","36940","32520"
"In post","2021","Chinese","Female","Undeclared","30","30","[c]","[c]"
"In post","2021","Chinese","Female","Unknown","80","70","42610","39110"
"In post","2021","Chinese","Male","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Declared non-disabled","410","410","36390","32060"
"In post","2021","Chinese","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Unknown","50","40","[c]","[c]"
"In post","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Declared disabled","730","670","32540","28370"
"In post","2021","Mixed","Female","Declared non-disabled","3530","3310","34390","30460"
"In post","2021","Mixed","Female","Undeclared","210","200","33760","29870"
"In post","2021","Mixed","Female","Unknown","350","330","35950","32500"
"In post","2021","Mixed","Male","Declared disabled","470","450","34430","30780"
"In post","2021","Mixed","Male","Declared non-disabled","2510","2460","36830","31940"
"In post","2021","Mixed","Male","Undeclared","200","190","35280","31650"
"In post","2021","Mixed","Male","Unknown","270","260","39830","37130"
"In post","2021","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Declared disabled","190","170","34080","31060"
"In post","2021","Other ethnicity","Female","Declared non-disabled","1030","950","34950","30650"
"In post","2021","Other ethnicity","Female","Undeclared","80","70","39160","33380"
"In post","2021","Other ethnicity","Female","Unknown","120","120","41120","35160"
"In post","2021","Other ethnicity","Male","Declared disabled","170","160","35750","31650"
"In post","2021","Other ethnicity","Male","Declared non-disabled","810","790","37720","32430"
"In post","2021","Other ethnicity","Male","Undeclared","100","100","40910","34970"
"In post","2021","Other ethnicity","Male","Unknown","110","100","45730","40590"
"In post","2021","Undeclared","Female","Declared disabled","940","830","29820","27570"
"In post","2021","Undeclared","Female","Declared non-disabled","4150","3640","30840","27570"
"In post","2021","Undeclared","Female","Undeclared","2580","2350","34350","30980"
"In post","2021","Undeclared","Female","Unknown","880","800","36540","33300"
"In post","2021","Undeclared","Male","Declared disabled","1100","1040","33160","29290"
"In post","2021","Undeclared","Male","Declared non-disabled","4790","4590","35160","31060"
"In post","2021","Undeclared","Male","Undeclared","4800","4650","36730","33030"
"In post","2021","Undeclared","Male","Unknown","1320","1270","39230","35620"
"In post","2021","Unknown","Female","Declared disabled","670","590","30160","27570"
"In post","2021","Unknown","Female","Declared non-disabled","5190","4540","30800","27570"
"In post","2021","Unknown","Female","Undeclared","900","820","34170","31040"
"In post","2021","Unknown","Female","Unknown","26370","24670","31840","27570"
"In post","2021","Unknown","Male","Declared disabled","580","540","33270","31810"
"In post","2021","Unknown","Male","Declared non-disabled","4410","4250","34480","29670"
"In post","2021","Unknown","Male","Undeclared","1130","1080","36830","33390"
"In post","2021","Unknown","Male","Unknown","27820","27220","33510","29200"
"In post","2021","Unknown","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Female","Declared disabled","24600","21810","30530","27570"
"In post","2021","White","Female","Declared non-disabled","142720","128340","32710","27570"
"In post","2021","White","Female","Undeclared","8170","7390","31060","27570"
"In post","2021","White","Female","Unknown","12190","11090","34690","30640"
"In post","2021","White","Male","Declared disabled","16460","15660","32800","28130"
"In post","2021","White","Male","Declared non-disabled","115700","112180","36120","31650"
"In post","2021","White","Male","Undeclared","8520","8110","33560","31650"
"In post","2021","White","Male","Unknown","12020","11650","37400","33650"
"In post","2021","White","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","White","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Female","Declared disabled","1810","1620","32240","29080"
"In post","2022","Asian","Female","Declared non-disabled","14620","13280","32780","29080"
"In post","2022","Asian","Female","Undeclared","710","640","32860","29180"
"In post","2022","Asian","Female","Unknown","1570","1490","37040","32960"
"In post","2022","Asian","Male","Declared disabled","1320","1270","32810","29370"
"In post","2022","Asian","Male","Declared non-disabled","11700","11410","33910","30190"
"In post","2022","Asian","Male","Undeclared","660","640","33630","30820"
"In post","2022","Asian","Male","Unknown","1270","1240","37120","33090"
"In post","2022","Black","Female","Declared disabled","1510","1410","32740","30880"
"In post","2022","Black","Female","Declared non-disabled","8240","7840","32800","30750"
"In post","2022","Black","Female","Undeclared","460","430","32530","31060"
"In post","2022","Black","Female","Unknown","700","680","36440","32790"
"In post","2022","Black","Male","Declared disabled","550","540","33460","31060"
"In post","2022","Black","Male","Declared non-disabled","4890","4800","33730","31060"
"In post","2022","Black","Male","Undeclared","310","300","34070","31880"
"In post","2022","Black","Male","Unknown","410","400","38120","33410"
"In post","2022","Black","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Female","Declared disabled","880","820","33490","30210"
"In post","2022","Mixed","Female","Declared non-disabled","3870","3630","34940","30820"
"In post","2022","Mixed","Female","Undeclared","220","210","34760","30320"
"In post","2022","Mixed","Female","Unknown","410","390","37190","32790"
"In post","2022","Mixed","Male","Declared disabled","510","490","34830","31060"
"In post","2022","Mixed","Male","Declared non-disabled","2740","2690","37150","33000"
"In post","2022","Mixed","Male","Undeclared","210","210","35500","31650"
"In post","2022","Mixed","Male","Unknown","320","310","40210","36840"
"In post","2022","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Declared disabled","200","180","34820","31060"
"In post","2022","Other ethnicity","Female","Declared non-disabled","1050","970","35260","31060"
"In post","2022","Other ethnicity","Female","Undeclared","50","50","36890","31040"
"In post","2022","Other ethnicity","Female","Unknown","130","120","39580","34020"
"In post","2022","Other ethnicity","Male","Declared disabled","190","180","35860","31880"
"In post","2022","Other ethnicity","Male","Declared non-disabled","850","830","37820","33210"
"In post","2022","Other ethnicity","Male","Undeclared","80","70","36310","31650"
"In post","2022","Other ethnicity","Male","Unknown","110","110","45450","40180"
"In post","2022","Undeclared","Female","Declared disabled","990","870","30640","27570"
"In post","2022","Undeclared","Female","Declared non-disabled","4080","3590","31780","27570"
"In post","2022","Undeclared","Female","Undeclared","2410","2200","34750","31060"
"In post","2022","Undeclared","Female","Unknown","810","740","38320","34930"
"In post","2022","Undeclared","Male","Declared disabled","1120","1060","33930","30670"
"In post","2022","Undeclared","Male","Declared non-disabled","4970","4760","36310","32000"
"In post","2022","Undeclared","Male","Undeclared","4650","4500","37500","33370"
"In post","2022","Undeclared","Male","Unknown","1180","1130","39760","35000"
"In post","2022","Undeclared","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Declared disabled","710","630","31270","27570"
"In post","2022","Unknown","Female","Declared non-disabled","4920","4350","31160","27570"
"In post","2022","Unknown","Female","Undeclared","490","440","31490","28200"
"In post","2022","Unknown","Female","Unknown","30500","28630","32780","27910"
"In post","2022","Unknown","Male","Declared disabled","580","540","34980","33000"
"In post","2022","Unknown","Male","Declared non-disabled","4240","4110","34400","29230"
"In post","2022","Unknown","Male","Undeclared","620","590","34570","31650"
"In post","2022","Unknown","Male","Unknown","30430","29710","34590","30210"
"In post","2022","Unknown","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","White","Female","Declared disabled","26770","23890","31350","27570"
"In post","2022","White","Female","Declared non-disabled","148620","134560","33500","27960"
"In post","2022","White","Female","Undeclared","8250","7480","31580","27570"
"In post","2022","White","Female","Unknown","13070","12020","36250","32770"
"In post","2022","White","Male","Declared disabled","17480","16650","33460","28920"
"In post","2022","White","Male","Declared non-disabled","119900","116400","36840","32000"
"In post","2022","White","Male","Undeclared","8360","7950","34140","31650"
"In post","2022","White","Male","Unknown","12370","12010","38270","35000"
"In post","2022","White","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Female","Declared disabled","70","50","[c]","[c]"
"Leaver CS","2021","Asian","Female","Declared non-disabled","510","440","29860","26120"
"Leaver CS","2021","Asian","Female","Undeclared","30","30","[c]","[c]"
"Leaver CS","2021","Asian","Female","Unknown","50","50","[c]","[c]"
"Leaver CS","2021","Asian","Male","Declared disabled","40","40","[c]","[c]"
"Leaver CS","2021","Asian","Male","Declared non-disabled","400","380","31240","27500"
"Leaver CS","2021","Asian","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Male","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Declared disabled","50","40","[c]","[c]"
"Leaver CS","2021","Black","Female","Declared non-disabled","270","240","29710","26000"
"Leaver CS","2021","Black","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Female","Unknown","[c]","[c]","[c]","[c]"
