"Status","Year","Region_ITL1","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Commercial","120","110","42940","41650"
"In post","2021","East Midlands (England)","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Tax","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Communications","100","100","36620","34570"
"In post","2021","East Midlands (England)","Communications","Operational Delivery","110","110","29090","25560"
"In post","2021","East Midlands (England)","Communications","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Tax","210","210","27410","25560"
"In post","2021","East Midlands (England)","Communications","Unknown","80","80","28310","25560"
"In post","2021","East Midlands (England)","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Legal","180","170","31030","31810"
"In post","2021","East Midlands (England)","Counter Fraud","Operational Delivery","190","170","30950","28130"
"In post","2021","East Midlands (England)","Counter Fraud","Other","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Tax","120","120","39600","35000"
"In post","2021","East Midlands (England)","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Debt","Operational Delivery","160","150","22270","20140"
"In post","2021","East Midlands (England)","Debt","Tax","80","70","20360","20140"
"In post","2021","East Midlands (England)","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data & Technology","Digital, Data and Technology","270","270","36460","32300"
"In post","2021","East Midlands (England)","Digital, Data & Technology","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data & Technology","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data & Technology","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data & Technology","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Finance","180","170","36280","31810"
"In post","2021","East Midlands (England)","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Operational Delivery","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Other","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Tax","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Grants Management","Operational Delivery","70","70","25890","25190"
"In post","2021","East Midlands (England)","Human Resources","Human Resources","360","340","37850","33840"
"In post","2021","East Midlands (England)","Human Resources","Operational Delivery","70","70","31960","31810"
"In post","2021","East Midlands (England)","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Tax","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Unknown","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","Internal Audit","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","Legal","330","300","48420","48830"
"In post","2021","East Midlands (England)","Legal","Operational Delivery","270","240","25600","23470"
"In post","2021","East Midlands (England)","Legal","Tax","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","Unknown","[c]","[c]","[c]","[c]"
