"Status","Year","Region_ITL1","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Analysis","50","50","37570","33590"
"In post","2021","East Midlands (England)","Commercial","160","160","40710","38150"
"In post","2021","East Midlands (England)","Communications","510","500","29800","25560"
"In post","2021","East Midlands (England)","Counter Fraud","540","510","33520","31810"
"In post","2021","East Midlands (England)","Debt","260","230","21620","20140"
"In post","2021","East Midlands (England)","Digital, Data & Technology","310","300","36970","33150"
"In post","2021","East Midlands (England)","Finance","240","230","36040","31810"
"In post","2021","East Midlands (England)","Grants Management","70","70","25890","25190"
"In post","2021","East Midlands (England)","Human Resources","500","470","36850","31810"
"In post","2021","East Midlands (England)","Internal Audit","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","620","560","37970","33310"
"In post","2021","East Midlands (England)","No function","10980","10190","29200","26580"
"In post","2021","East Midlands (England)","Project Delivery","650","630","38330","35640"
"In post","2021","East Midlands (England)","Property","500","470","33120","31810"
"In post","2021","East Midlands (England)","Security","160","160","29470","26710"
"In post","2021","East Midlands (England)","Unknown","5780","5210","26280","27570"
"In post","2021","East of England","Analysis","380","360","35070","31450"
"In post","2021","East of England","Commercial","390","380","41190","37250"
"In post","2021","East of England","Communications","100","100","33240","31170"
"In post","2021","East of England","Counter Fraud","450","410","28610","25560"
"In post","2021","East of England","Debt","140","120","24890","24670"
"In post","2021","East of England","Digital, Data & Technology","550","520","36240","33300"
"In post","2021","East of England","Finance","480","440","34820","31810"
"In post","2021","East of England","Grants Management","50","50","26230","25190"
"In post","2021","East of England","Human Resources","210","190","35170","31780"
"In post","2021","East of England","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","590","530","40840","36360"
"In post","2021","East of England","No function","8560","7990","30260","28130"
"In post","2021","East of England","Project Delivery","880","840","38240","36340"
"In post","2021","East of England","Property","540","520","32260","32100"
"In post","2021","East of England","Security","550","540","33210","29130"
"In post","2021","East of England","Unknown","8710","7960","28440","27570"
"In post","2021","London","Analysis","3450","3350","48920","44950"
"In post","2021","London","Commercial","1880","1840","58850","54700"
"In post","2021","London","Communications","2450","2390","44780","40830"
"In post","2021","London","Counter Fraud","2320","2230","39230","36160"
"In post","2021","London","Debt","560","500","28270","25630"
"In post","2021","London","Digital, Data & Technology","3390","3330","49190","47850"
"In post","2021","London","Finance","2550","2490","48750","43780"
"In post","2021","London","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","London","Human Resources","2660","2580","46620","41820"
"In post","2021","London","Internal Audit","220","210","53750","52360"
"In post","2021","London","Legal","5400","5070","52270","51940"
"In post","2021","London","No function","42570","41190","42540","36800"
"In post","2021","London","Project Delivery","5120","4970","52500","52850"
"In post","2021","London","Property","1310","1260","43540","37380"
"In post","2021","London","Security","1090","1080","41070","37450"
"In post","2021","London","Unknown","26960","25480","38300","31560"
