"Status","Year","Sex","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Analysis","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","East of England","170","150","32370","29990"
"In post","2021","Female","Analysis","London","1490","1410","48450","44380"
"In post","2021","Female","Analysis","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","North West (England)","170","160","38710","36840"
"In post","2021","Female","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","South East (England)","370","350","37700","37020"
"In post","2021","Female","Analysis","South West (England)","220","200","36420","33300"
"In post","2021","Female","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Wales","560","520","35200","33020"
"In post","2021","Female","Analysis","West Midlands (England)","30","30","[c]","[c]"
"In post","2021","Female","Analysis","Yorkshire and The Humber","180","160","39910","39110"
"In post","2021","Female","Commercial","East Midlands (England)","90","80","36840","31930"
"In post","2021","Female","Commercial","East of England","220","200","38650","35730"
"In post","2021","Female","Commercial","London","890","860","54130","51260"
"In post","2021","Female","Commercial","North East (England)","50","50","43700","38280"
"In post","2021","Female","Commercial","North West (England)","410","390","41830","37100"
"In post","2021","Female","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Scotland","180","170","37780","33930"
"In post","2021","Female","Commercial","South East (England)","380","360","36030","33300"
"In post","2021","Female","Commercial","South West (England)","650","610","39670","35130"
"In post","2021","Female","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Wales","190","170","34080","31380"
"In post","2021","Female","Commercial","West Midlands (England)","190","180","39080","36100"
"In post","2021","Female","Commercial","Yorkshire and The Humber","280","260","44420","38540"
"In post","2021","Female","Communications","East Midlands (England)","240","230","30890","26780"
"In post","2021","Female","Communications","East of England","50","50","[c]","[c]"
"In post","2021","Female","Communications","London","1380","1340","45100","41030"
"In post","2021","Female","Communications","North East (England)","800","740","27990","25560"
"In post","2021","Female","Communications","North West (England)","340","330","31720","29360"
"In post","2021","Female","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Scotland","110","100","33840","31810"
"In post","2021","Female","Communications","South East (England)","170","160","33670","32560"
"In post","2021","Female","Communications","South West (England)","190","170","35870","33350"
"In post","2021","Female","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Wales","490","460","29680","25560"
"In post","2021","Female","Communications","West Midlands (England)","180","170","33640","31810"
"In post","2021","Female","Communications","Yorkshire and The Humber","300","290","31590","25560"
"In post","2021","Female","Counter Fraud","East Midlands (England)","250","220","31900","31810"
"In post","2021","Female","Counter Fraud","East of England","240","210","27280","25560"
"In post","2021","Female","Counter Fraud","London","1000","940","37540","36160"
"In post","2021","Female","Counter Fraud","North East (England)","260","240","31410","31810"
"In post","2021","Female","Counter Fraud","North West (England)","810","730","32040","31810"
"In post","2021","Female","Counter Fraud","Northern Ireland","190","170","30810","28130"
"In post","2021","Female","Counter Fraud","Scotland","440","390","29460","28130"
"In post","2021","Female","Counter Fraud","South East (England)","210","190","30170","28130"
"In post","2021","Female","Counter Fraud","South West (England)","160","150","34060","31810"
"In post","2021","Female","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Wales","200","180","29730","26950"
"In post","2021","Female","Counter Fraud","West Midlands (England)","360","320","30740","28130"
"In post","2021","Female","Counter Fraud","Yorkshire and The Humber","410","360","31390","30730"
"In post","2021","Female","Debt","East Midlands (England)","140","120","21820","20140"
"In post","2021","Female","Debt","East of England","90","70","24750","25120"
"In post","2021","Female","Debt","London","350","300","27100","25630"
"In post","2021","Female","Debt","North East (England)","330","290","21330","20140"
"In post","2021","Female","Debt","North West (England)","180","160","23740","21440"
"In post","2021","Female","Debt","Northern Ireland","[c]","[c]","[c]","[c]"
