"Status","Year","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Heterosexual / straight","3770","3650","40670","37400"
"In post","2021","Commercial","LGBO","170","160","37130","33390"
"In post","2021","Commercial","Undeclared","490","470","40010","37980"
"In post","2021","Commercial","Unknown","930","900","40240","38200"
"In post","2021","Communications","Heterosexual / straight","2580","2490","41540","38100"
"In post","2021","Communications","LGBO","200","200","41800","39670"
"In post","2021","Communications","Undeclared","310","290","38760","36980"
"In post","2021","Communications","Unknown","880","850","42510","38690"
"In post","2021","Corporate Finance","Heterosexual / straight","120","120","48390","46080"
"In post","2021","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Heterosexual / straight","600","570","37520","34820"
"In post","2021","Counter Fraud","LGBO","30","30","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","60","60","35720","33740"
"In post","2021","Counter Fraud","Unknown","210","200","40720","39170"
"In post","2021","Digital, Data and Technology","Heterosexual / straight","8280","8060","42300","38630"
"In post","2021","Digital, Data and Technology","LGBO","490","480","41280","37650"
"In post","2021","Digital, Data and Technology","Undeclared","1330","1290","41040","38630"
"In post","2021","Digital, Data and Technology","Unknown","3190","3120","40770","37940"
"In post","2021","Economics","Heterosexual / straight","1400","1370","47850","47180"
"In post","2021","Economics","LGBO","130","120","45790","38750"
"In post","2021","Economics","Undeclared","160","160","47330","45250"
"In post","2021","Economics","Unknown","480","470","45280","38600"
"In post","2021","Finance","Heterosexual / straight","6580","6270","40810","36970"
"In post","2021","Finance","LGBO","250","240","43660","40450"
"In post","2021","Finance","Undeclared","900","850","40380","37100"
"In post","2021","Finance","Unknown","1440","1350","37660","33530"
"In post","2021","Human Resources","Heterosexual / straight","6000","5690","39050","34490"
"In post","2021","Human Resources","LGBO","350","340","41070","36740"
"In post","2021","Human Resources","Undeclared","610","570","36570","33300"
"In post","2021","Human Resources","Unknown","900","860","36450","32730"
"In post","2021","Inspector of Education and Training","Heterosexual / straight","720","700","66390","74730"
"In post","2021","Inspector of Education and Training","LGBO","50","50","69920","75500"
"In post","2021","Inspector of Education and Training","Undeclared","50","40","[c]","[c]"
"In post","2021","Inspector of Education and Training","Unknown","40","40","[c]","[c]"
"In post","2021","Intelligence Analysis","Heterosexual / straight","2470","2360","34220","30890"
"In post","2021","Intelligence Analysis","LGBO","120","120","35900","30830"
"In post","2021","Intelligence Analysis","Undeclared","420","400","34290","31290"
"In post","2021","Intelligence Analysis","Unknown","380","370","41720","37000"
"In post","2021","Internal Audit","Heterosexual / straight","600","570","46030","43320"
"In post","2021","Internal Audit","LGBO","40","30","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","90","80","45790","42520"
"In post","2021","Internal Audit","Unknown","60","50","42280","40040"
"In post","2021","International Trade","Heterosexual / straight","830","820","47770","43930"
"In post","2021","International Trade","LGBO","80","80","51070","51970"
"In post","2021","International Trade","Undeclared","90","90","44800","38780"
"In post","2021","International Trade","Unknown","460","460","45060","38800"
"In post","2021","Knowledge and Information Management","Heterosexual / straight","1640","1570","36770","33300"
"In post","2021","Knowledge and Information Management","LGBO","90","90","34180","32330"
"In post","2021","Knowledge and Information Management","Undeclared","330","310","37630","34890"
"In post","2021","Knowledge and Information Management","Unknown","330","310","36950","34240"
"In post","2021","Legal","Heterosexual / straight","7730","7240","48230","49980"
"In post","2021","Legal","LGBO","450","430","50050","51250"
"In post","2021","Legal","Undeclared","1020","950","46890","45190"
"In post","2021","Legal","Unknown","2940","2740","47790","50520"
"In post","2021","Medicine","Heterosexual / straight","1710","1540","54180","40000"
"In post","2021","Medicine","LGBO","50","50","[c]","[c]"
"In post","2021","Medicine","Undeclared","230","200","63750","53870"
"In post","2021","Medicine","Unknown","510","460","59690","44500"
"In post","2021","Operational Delivery","Heterosexual / straight","116000","107070","29080","26300"
"In post","2021","Operational Delivery","LGBO","6430","6200","28970","26120"
"In post","2021","Operational Delivery","Undeclared","17490","15760","28840","26780"
"In post","2021","Operational Delivery","Unknown","36190","32990","27260","24920"
"In post","2021","Operational Research","Heterosexual / straight","860","820","44610","45560"
"In post","2021","Operational Research","LGBO","70","70","40760","37320"
"In post","2021","Operational Research","Undeclared","110","100","45750","45200"
"In post","2021","Operational Research","Unknown","150","150","42800","40480"
"In post","2021","Other","Heterosexual / straight","15260","14610","30590","26470"
"In post","2021","Other","LGBO","600","580","31720","27350"
"In post","2021","Other","Undeclared","2160","2070","31340","26670"
"In post","2021","Other","Unknown","4640","4510","36280","32700"
"In post","2021","Planning","Heterosexual / straight","160","150","46980","40920"
"In post","2021","Planning","LGBO","[c]","[c]","[c]","[c]"
