"Status","Year","Region_ITL3","Disability","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","AA/AO","40","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","EO","40","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","AA/AO","250","230","26080","22230"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","EO","330","300","28290","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","G6/G7","90","90","66770","61060"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","SEO/HEO","380","370","48100","38640"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","AA/AO","250","230","24730","22820"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","EO","210","200","30960","30930"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","SEO/HEO","150","140","40510","39500"
"In post","2021","Angus and Dundee City","Declared disabled","AA/AO","180","160","21140","21010"
"In post","2021","Angus and Dundee City","Declared disabled","EO","60","60","27480","27570"
"In post","2021","Angus and Dundee City","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared non-disabled","AA/AO","610","560","21090","21010"
"In post","2021","Angus and Dundee City","Declared non-disabled","EO","350","320","27370","27570"
"In post","2021","Angus and Dundee City","Declared non-disabled","G6/G7","50","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared non-disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared non-disabled","SEO/HEO","160","150","36690","34290"
"In post","2021","Angus and Dundee City","Undeclared","AA/AO","60","60","20930","21010"
"In post","2021","Angus and Dundee City","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","AA/AO","250","230","21210","21010"
"In post","2021","Angus and Dundee City","Unknown","EO","60","60","27670","28130"
"In post","2021","Angus and Dundee City","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","SEO/HEO","50","50","36400","35050"
"In post","2021","Antrim and Newtownabbey","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","AA/AO","90","90","20800","20310"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","AA/AO","30","30","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared non-disabled","AA/AO","100","100","21110","20310"
"In post","2021","Ards and North Down","Declared non-disabled","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared non-disabled","G6/G7","[c]","[c]","[c]","[c]"
