"Status","Year","Parent_department","Function_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Analysis","White","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","White","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","White","70","70","43580","39750"
"In post","2021","Attorney General's Departments","Counter Fraud","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Unknown","60","60","46920","40270"
"In post","2021","Attorney General's Departments","Counter Fraud","White","150","140","46040","40270"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","White","120","120","42280","38780"
"In post","2021","Attorney General's Departments","Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","White","100","90","37520","31570"
"In post","2021","Attorney General's Departments","Human Resources","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","White","160","150","41520","36230"
"In post","2021","Attorney General's Departments","Legal","Asian","800","740","43030","48080"
