"Status","Year","Age","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","30","30","[c]","[c]"
"In post","2021","16-19","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
