"Status","Year","Region_ITL2","Region_ITL1","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Asian","540","500","30790","29290"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Black","230","220","30990","29290"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Mixed","140","130","31830","29290"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Undeclared","210","190","32800","30420"
"In post","2021","Bedfordshire and Hertfordshire","East of England","Unknown","410","390","29890","28100"
"In post","2021","Bedfordshire and Hertfordshire","East of England","White","2950","2760","33160","30110"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","Asian","600","560","30660","28420"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","Black","280","270","30400","28670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","Chinese","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","Mixed","170","170","32290","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","Other ethnicity","60","60","30620","28960"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","Undeclared","460","440","34420","32000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","Unknown","1110","1060","31350","28350"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","White","6870","6540","33380","30400"
"In post","2021","Cheshire","North West (England)","Asian","60","50","28950","27570"
"In post","2021","Cheshire","North West (England)","Black","30","30","[c]","[c]"
"In post","2021","Cheshire","North West (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","North West (England)","Mixed","50","40","[c]","[c]"
"In post","2021","Cheshire","North West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","North West (England)","Undeclared","130","130","31720","29330"
"In post","2021","Cheshire","North West (England)","Unknown","420","400","29660","27570"
"In post","2021","Cheshire","North West (England)","White","3200","3010","31490","28840"
"In post","2021","Cornwall and Isles of Scilly","South West (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","South West (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","South West (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","South West (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","South West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","South West (England)","Undeclared","90","80","27690","26590"
"In post","2021","Cornwall and Isles of Scilly","South West (England)","Unknown","170","150","26640","22640"
"In post","2021","Cornwall and Isles of Scilly","South West (England)","White","1360","1240","26510","26670"
"In post","2021","Cumbria","North West (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","North West (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","North West (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","North West (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","North West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","North West (England)","Undeclared","90","80","31850","27570"
"In post","2021","Cumbria","North West (England)","Unknown","320","310","25760","21050"
"In post","2021","Cumbria","North West (England)","White","1710","1530","28200","25560"
"In post","2021","Derbyshire and Nottinghamshire","East Midlands (England)","Asian","650","590","29880","27570"
"In post","2021","Derbyshire and Nottinghamshire","East Midlands (England)","Black","320","300","27280","26560"
"In post","2021","Derbyshire and Nottinghamshire","East Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","East Midlands (England)","Mixed","210","200","30360","27570"
"In post","2021","Derbyshire and Nottinghamshire","East Midlands (England)","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","East Midlands (England)","Undeclared","500","460","31450","28130"
"In post","2021","Derbyshire and Nottinghamshire","East Midlands (England)","Unknown","1800","1700","28540","25560"
"In post","2021","Derbyshire and Nottinghamshire","East Midlands (England)","White","8750","8080","31650","27570"
"In post","2021","Devon","South West (England)","Asian","50","50","35110","31860"
"In post","2021","Devon","South West (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Devon","South West (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Devon","South West (England)","Mixed","100","90","31350","27570"
"In post","2021","Devon","South West (England)","Other ethnicity","40","30","[c]","[c]"
"In post","2021","Devon","South West (England)","Undeclared","420","390","32220","27680"
"In post","2021","Devon","South West (England)","Unknown","1100","1020","29150","26120"
"In post","2021","Devon","South West (England)","White","7280","6690","31520","27570"
"In post","2021","Dorset and Somerset","South West (England)","Asian","30","30","[c]","[c]"
"In post","2021","Dorset and Somerset","South West (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","South West (England)","Chinese","[c]","[c]","[c]","[c]"
