"Status","Year","Profession_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","East Midlands (England)","Female","70","60","40050","39040"
"In post","2021","Commercial","East Midlands (England)","Male","70","60","45880","46870"
"In post","2021","Commercial","East of England","Female","140","130","36900","35630"
"In post","2021","Commercial","East of England","Male","110","110","41660","37320"
"In post","2021","Commercial","London","Female","460","450","45900","41330"
"In post","2021","Commercial","London","Male","420","410","49660","45810"
"In post","2021","Commercial","North East (England)","Female","60","50","40740","37030"
"In post","2021","Commercial","North East (England)","Male","60","60","45420","42630"
"In post","2021","Commercial","North West (England)","Female","290","270","37930","35760"
"In post","2021","Commercial","North West (England)","Male","230","220","39190","36500"
"In post","2021","Commercial","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","Female","140","130","35050","33930"
"In post","2021","Commercial","Scotland","Male","140","140","36290","34060"
"In post","2021","Commercial","South East (England)","Female","260","240","36200","34800"
"In post","2021","Commercial","South East (England)","Male","210","200","41270","40330"
"In post","2021","Commercial","South West (England)","Female","900","840","37640","34800"
"In post","2021","Commercial","South West (England)","Male","820","810","41580","39650"
"In post","2021","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","Female","170","150","33520","31090"
"In post","2021","Commercial","Wales","Male","160","160","36480","32180"
"In post","2021","Commercial","West Midlands (England)","Female","140","140","38160","36780"
"In post","2021","Commercial","West Midlands (England)","Male","110","110","40810","38280"
"In post","2021","Commercial","Yorkshire and The Humber","Female","220","210","39360","36820"
"In post","2021","Commercial","Yorkshire and The Humber","Male","150","150","41500","37240"
"In post","2021","Communications","East Midlands (England)","Female","70","70","36170","33960"
"In post","2021","Communications","East Midlands (England)","Male","40","40","[c]","[c]"
"In post","2021","Communications","East of England","Female","50","40","[c]","[c]"
"In post","2021","Communications","East of England","Male","50","40","[c]","[c]"
"In post","2021","Communications","London","Female","1240","1190","45780","42200"
"In post","2021","Communications","London","Male","860","850","46940","42700"
"In post","2021","Communications","North East (England)","Female","80","70","32660","30090"
"In post","2021","Communications","North East (England)","Male","40","40","[c]","[c]"
"In post","2021","Communications","North West (England)","Female","120","120","36400","33620"
"In post","2021","Communications","North West (England)","Male","80","80","36330","35110"
"In post","2021","Communications","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","Female","40","40","[c]","[c]"
"In post","2021","Communications","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","Female","160","150","33940","33000"
"In post","2021","Communications","South East (England)","Male","140","130","32690","31200"
"In post","2021","Communications","South West (England)","Female","160","150","35050","33320"
"In post","2021","Communications","South West (England)","Male","150","150","36060","33790"
"In post","2021","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","Female","220","200","36560","33840"
"In post","2021","Communications","Wales","Male","140","140","37260","34490"
"In post","2021","Communications","West Midlands (England)","Female","100","90","40480","38000"
"In post","2021","Communications","West Midlands (England)","Male","50","50","36020","33100"
"In post","2021","Communications","Yorkshire and The Humber","Female","70","70","42660","39930"
"In post","2021","Communications","Yorkshire and The Humber","Male","60","60","40650","36970"
"In post","2021","Corporate Finance","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","Female","30","30","[c]","[c]"
"In post","2021","Corporate Finance","London","Male","40","40","[c]","[c]"
"In post","2021","Corporate Finance","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","Female","160","150","40720","34980"
"In post","2021","Counter Fraud","London","Male","240","240","45040","40590"
"In post","2021","Counter Fraud","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North West (England)","Female","50","50","33620","32390"
"In post","2021","Counter Fraud","North West (England)","Male","50","50","38550","36060"
"In post","2021","Counter Fraud","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Scotland","Female","60","50","27920","25310"
"In post","2021","Counter Fraud","Scotland","Male","30","30","[c]","[c]"
"In post","2021","Counter Fraud","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","West Midlands (England)","Female","30","30","[c]","[c]"
"In post","2021","Counter Fraud","West Midlands (England)","Male","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Yorkshire and The Humber","Male","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","East Midlands (England)","Female","110","100","36210","32180"
"In post","2021","Digital, Data and Technology","East Midlands (England)","Male","180","170","36300","32300"
"In post","2021","Digital, Data and Technology","East of England","Female","160","140","35850","33000"
"In post","2021","Digital, Data and Technology","East of England","Male","350","340","36660","34620"
"In post","2021","Digital, Data and Technology","London","Female","1250","1210","47840","43960"
"In post","2021","Digital, Data and Technology","London","Male","2050","2040","50520","46140"
"In post","2021","Digital, Data and Technology","North East (England)","Female","280","260","39080","37100"
"In post","2021","Digital, Data and Technology","North East (England)","Male","430","410","39130","38630"
"In post","2021","Digital, Data and Technology","North West (England)","Female","360","340","38550","35820"
"In post","2021","Digital, Data and Technology","North West (England)","Male","690","680","39740","37460"
"In post","2021","Digital, Data and Technology","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Scotland","Female","170","160","39090","35960"
"In post","2021","Digital, Data and Technology","Scotland","Male","440","430","38710","35230"
"In post","2021","Digital, Data and Technology","South East (England)","Female","300","280","36590","33010"
"In post","2021","Digital, Data and Technology","South East (England)","Male","530","530","39570","36460"
"In post","2021","Digital, Data and Technology","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","South West (England)","Female","650","600","37030","35030"
"In post","2021","Digital, Data and Technology","South West (England)","Male","1510","1480","40080","38450"
"In post","2021","Digital, Data and Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Wales","Female","610","580","37380","36030"
"In post","2021","Digital, Data and Technology","Wales","Male","1400","1390","40600","38000"
"In post","2021","Digital, Data and Technology","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","West Midlands (England)","Female","370","350","40270","37100"
"In post","2021","Digital, Data and Technology","West Midlands (England)","Male","520","510","41270","38230"
"In post","2021","Digital, Data and Technology","Yorkshire and The Humber","Female","380","360","38940","35900"
"In post","2021","Digital, Data and Technology","Yorkshire and The Humber","Male","540","530","41410","38630"
"In post","2021","Economics","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2021","Economics","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2021","Economics","London","Female","640","620","47810","45470"
"In post","2021","Economics","London","Male","1130","1120","47900","42470"
"In post","2021","Economics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Economics","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Economics","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Economics","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Economics","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Economics","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Economics","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Economics","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Wales","Female","70","60","36810","31090"
"In post","2021","Economics","Wales","Male","110","110","41950","36030"
"In post","2021","Economics","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Economics","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","East Midlands (England)","Female","120","110","33760","30370"
"In post","2021","Finance","East Midlands (England)","Male","80","80","38080","33300"
"In post","2021","Finance","East of England","Female","240","220","34950","31810"
"In post","2021","Finance","East of England","Male","150","150","39830","36970"
"In post","2021","Finance","London","Female","1230","1190","46890","41980"
"In post","2021","Finance","London","Male","1320","1310","51290","47250"
"In post","2021","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","North East (England)","Female","200","190","36530","31810"
"In post","2021","Finance","North East (England)","Male","170","170","41900","38630"
"In post","2021","Finance","North West (England)","Female","330","310","36990","33300"
"In post","2021","Finance","North West (England)","Male","320","320","39530","36870"
"In post","2021","Finance","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scotland","Female","500","420","27600","21440"
"In post","2021","Finance","Scotland","Male","200","180","29320","22670"
"In post","2021","Finance","South East (England)","Female","530","500","35660","33000"
"In post","2021","Finance","South East (England)","Male","370","360","39050","35000"
"In post","2021","Finance","South West (England)","Female","740","690","37980","33300"
"In post","2021","Finance","South West (England)","Male","560","550","42000","39860"
"In post","2021","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Wales","Female","420","380","35940","30890"
"In post","2021","Finance","Wales","Male","290","290","40640","37410"
"In post","2021","Finance","West Midlands (England)","Female","310","290","40110","37100"
"In post","2021","Finance","West Midlands (England)","Male","210","210","42050","38060"
"In post","2021","Finance","Yorkshire and The Humber","Female","470","420","33170","28970"
"In post","2021","Finance","Yorkshire and The Humber","Male","320","310","37650","33590"
"In post","2021","Human Resources","East Midlands (England)","Female","260","250","37800","33840"
"In post","2021","Human Resources","East Midlands (England)","Male","110","100","37720","33350"
"In post","2021","Human Resources","East of England","Female","140","130","34570","31180"
"In post","2021","Human Resources","East of England","Male","60","50","36860","33300"
"In post","2021","Human Resources","London","Female","1640","1570","46480","41970"
"In post","2021","Human Resources","London","Male","780","770","47410","42620"
"In post","2021","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","North East (England)","Female","90","80","34850","32900"
"In post","2021","Human Resources","North East (England)","Male","40","40","[c]","[c]"
"In post","2021","Human Resources","North West (England)","Female","720","660","33710","30530"
"In post","2021","Human Resources","North West (England)","Male","320","310","33840","30830"
"In post","2021","Human Resources","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Overseas","Male","[c]","[c]","[c]","[c]"
