"Status","Year","Parent_department","Region_ITL3","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Aberdeen City and Aberdeenshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","Legal","70","70","56700","57000"
"In post","2021","Attorney General's Departments","Berkshire","Operational Delivery","60","60","28220","26970"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","Legal","240","230","53120","53350"
"In post","2021","Attorney General's Departments","Birmingham","Operational Delivery","230","210","25700","25480"
"In post","2021","Attorney General's Departments","Birmingham","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","Legal","50","50","57690","60710"
"In post","2021","Attorney General's Departments","Brighton and Hove","Operational Delivery","60","50","28120","26970"
"In post","2021","Attorney General's Departments","Bristol, City of","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bristol, City of","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bristol, City of","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bristol, City of","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bristol, City of","Legal","90","80","52740","54910"
"In post","2021","Attorney General's Departments","Bristol, City of","Operational Delivery","60","60","26790","25920"
"In post","2021","Attorney General's Departments","Cambridgeshire CC","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cambridgeshire CC","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Legal","110","100","52390","53350"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Operational Delivery","100","90","28020","23470"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Central Valleys","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Croydon","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Croydon","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Croydon","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Croydon","Other","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Croydon","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derby","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derby","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon CC","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon CC","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon CC","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon CC","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon CC","Legal","50","50","52200","55610"
"In post","2021","Attorney General's Departments","Devon CC","Operational Delivery","40","40","[c]","[c]"
