"Status","Year","Sexual_orientation","Function_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Analysis","Declared disabled","420","400","41400","37520"
"In post","2021","Heterosexual / straight","Analysis","Declared non-disabled","3560","3420","45050","40640"
"In post","2021","Heterosexual / straight","Analysis","Undeclared","120","120","45140","42440"
"In post","2021","Heterosexual / straight","Analysis","Unknown","550","530","38860","36030"
"In post","2021","Heterosexual / straight","Commercial","Declared disabled","440","420","39450","37050"
"In post","2021","Heterosexual / straight","Commercial","Declared non-disabled","3200","3100","43240","38300"
"In post","2021","Heterosexual / straight","Commercial","Undeclared","190","180","43570","38860"
"In post","2021","Heterosexual / straight","Commercial","Unknown","380","370","36860","34800"
"In post","2021","Heterosexual / straight","Communications","Declared disabled","420","390","31960","29180"
"In post","2021","Heterosexual / straight","Communications","Declared non-disabled","3850","3710","35780","31810"
"In post","2021","Heterosexual / straight","Communications","Undeclared","140","140","34450","29200"
"In post","2021","Heterosexual / straight","Communications","Unknown","350","340","36290","32790"
"In post","2021","Heterosexual / straight","Counter Fraud","Declared disabled","580","530","33420","31810"
"In post","2021","Heterosexual / straight","Counter Fraud","Declared non-disabled","4820","4560","34640","31810"
"In post","2021","Heterosexual / straight","Counter Fraud","Undeclared","170","160","34070","31810"
"In post","2021","Heterosexual / straight","Counter Fraud","Unknown","290","260","32720","31810"
"In post","2021","Heterosexual / straight","Debt","Declared disabled","260","220","23030","21440"
"In post","2021","Heterosexual / straight","Debt","Declared non-disabled","1720","1560","24190","21440"
"In post","2021","Heterosexual / straight","Debt","Undeclared","70","70","23770","21020"
"In post","2021","Heterosexual / straight","Debt","Unknown","100","80","24090","21400"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Declared disabled","760","730","39750","36070"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Declared non-disabled","6190","6020","42580","38630"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Undeclared","240","240","41550","38630"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Unknown","730","710","40490","36840"
"In post","2021","Heterosexual / straight","Finance","Declared disabled","650","600","37660","33440"
"In post","2021","Heterosexual / straight","Finance","Declared non-disabled","5160","4920","40630","36770"
"In post","2021","Heterosexual / straight","Finance","Undeclared","210","200","38250","35360"
"In post","2021","Heterosexual / straight","Finance","Unknown","410","400","39690","36740"
"In post","2021","Heterosexual / straight","Grants Management","Declared disabled","90","80","26600","25190"
"In post","2021","Heterosexual / straight","Grants Management","Declared non-disabled","700","630","26610","25190"
"In post","2021","Heterosexual / straight","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Declared disabled","950","900","38770","34160"
"In post","2021","Heterosexual / straight","Human Resources","Declared non-disabled","5360","5080","38410","33350"
"In post","2021","Heterosexual / straight","Human Resources","Undeclared","260","250","37340","33960"
"In post","2021","Heterosexual / straight","Human Resources","Unknown","540","510","35090","30750"
"In post","2021","Heterosexual / straight","Internal Audit","Declared disabled","70","60","44870","40000"
"In post","2021","Heterosexual / straight","Internal Audit","Declared non-disabled","480","460","46450","43910"
"In post","2021","Heterosexual / straight","Internal Audit","Undeclared","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Declared disabled","910","840","43780","40800"
"In post","2021","Heterosexual / straight","Legal","Declared non-disabled","6800","6320","46690","48830"
"In post","2021","Heterosexual / straight","Legal","Undeclared","170","160","48750","50500"
"In post","2021","Heterosexual / straight","Legal","Unknown","960","920","37600","38000"
"In post","2021","Heterosexual / straight","No function","Declared disabled","12890","11880","31180","28080"
"In post","2021","Heterosexual / straight","No function","Declared non-disabled","90080","84460","33700","29750"
"In post","2021","Heterosexual / straight","No function","Undeclared","5580","5160","31760","30450"
"In post","2021","Heterosexual / straight","No function","Unknown","8360","7850","34960","32770"
"In post","2021","Heterosexual / straight","Project Delivery","Declared disabled","2010","1930","39340","36620"
"In post","2021","Heterosexual / straight","Project Delivery","Declared non-disabled","16370","15840","41460","38630"
"In post","2021","Heterosexual / straight","Project Delivery","Undeclared","610","590","39450","37640"
"In post","2021","Heterosexual / straight","Project Delivery","Unknown","1260","1210","41280","38630"
"In post","2021","Heterosexual / straight","Property","Declared disabled","540","510","34920","32250"
"In post","2021","Heterosexual / straight","Property","Declared non-disabled","4800","4580","36000","33300"
"In post","2021","Heterosexual / straight","Property","Undeclared","220","210","34090","32860"
"In post","2021","Heterosexual / straight","Property","Unknown","340","330","31850","28870"
"In post","2021","Heterosexual / straight","Security","Declared disabled","500","480","31500","28480"
"In post","2021","Heterosexual / straight","Security","Declared non-disabled","4530","4430","31000","26670"
"In post","2021","Heterosexual / straight","Security","Undeclared","310","300","32380","30440"
"In post","2021","Heterosexual / straight","Security","Unknown","690","670","30490","27680"
"In post","2021","Heterosexual / straight","Unknown","Declared disabled","15860","14200","28730","27570"
"In post","2021","Heterosexual / straight","Unknown","Declared non-disabled","91110","84270","31000","27570"
"In post","2021","Heterosexual / straight","Unknown","Undeclared","3590","3360","28910","27570"
"In post","2021","Heterosexual / straight","Unknown","Unknown","4030","3860","37150","32140"
"In post","2021","LGBO","Analysis","Declared disabled","80","70","40430","36900"
"In post","2021","LGBO","Analysis","Declared non-disabled","280","270","42520","37020"
"In post","2021","LGBO","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Analysis","Unknown","50","50","35290","30130"
"In post","2021","LGBO","Commercial","Declared disabled","40","30","[c]","[c]"
"In post","2021","LGBO","Commercial","Declared non-disabled","120","120","38400","33300"
"In post","2021","LGBO","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Declared disabled","60","60","34790","31810"
"In post","2021","LGBO","Communications","Declared non-disabled","270","260","36340","31810"
"In post","2021","LGBO","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Declared disabled","60","50","34060","31810"
"In post","2021","LGBO","Counter Fraud","Declared non-disabled","210","200","34170","31810"
"In post","2021","LGBO","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Debt","Declared disabled","[c]","[c]","[c]","[c]"
