"Status","Year","Disability","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","20-29","Commercial","40","40","[c]","[c]"
"In post","2021","Declared disabled","20-29","Communications","40","40","[c]","[c]"
"In post","2021","Declared disabled","20-29","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","20-29","Digital, Data and Technology","100","100","30970","29760"
"In post","2021","Declared disabled","20-29","Economics","50","50","[c]","[c]"
"In post","2021","Declared disabled","20-29","Finance","60","50","32430","30120"
"In post","2021","Declared disabled","20-29","Human Resources","90","90","32460","29870"
