"Status","Year","Ethnicity","Region_ITL2","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Declared disabled","70","60","30460","27570"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Declared non-disabled","420","380","30250","28240"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Unknown","40","40","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","60","60","29910","27570"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","460","430","30680","28340"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","50","50","[c]","[c]"
"In post","2021","Asian","Cheshire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Asian","Cheshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Declared disabled","80","70","29900","27570"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Declared non-disabled","510","460","29780","27570"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
