"Status","Year","Profession_of_post","Ethnicity","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Asian","Female","120","110","38000","35190"
"In post","2021","Commercial","Asian","Male","110","110","40420","38280"
"In post","2021","Commercial","Black","Female","120","120","36990","34900"
"In post","2021","Commercial","Black","Male","60","60","40360","38000"
"In post","2021","Commercial","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Female","60","50","39730","34780"
"In post","2021","Commercial","Mixed","Male","30","30","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Female","100","100","38310","35760"
"In post","2021","Commercial","Undeclared","Male","130","120","41080","39620"
"In post","2021","Commercial","Unknown","Female","310","290","38650","36820"
"In post","2021","Commercial","Unknown","Male","280","280","40030","37400"
"In post","2021","Commercial","White","Female","2130","2010","38910","36500"
"In post","2021","Commercial","White","Male","1880","1850","43030","40070"
"In post","2021","Communications","Asian","Female","110","100","40290","37210"
"In post","2021","Communications","Asian","Male","70","70","38220","33830"
"In post","2021","Communications","Black","Female","80","80","37710","35010"
"In post","2021","Communications","Black","Male","30","30","[c]","[c]"
"In post","2021","Communications","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Female","70","70","42240","39290"
"In post","2021","Communications","Mixed","Male","40","40","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Female","50","40","[c]","[c]"
"In post","2021","Communications","Undeclared","Male","70","70","41820","38980"
"In post","2021","Communications","Unknown","Female","400","390","42090","38650"
"In post","2021","Communications","Unknown","Male","300","300","43140","39110"
"In post","2021","Communications","White","Female","1600","1510","41530","38540"
"In post","2021","Communications","White","Male","1110","1100","41690","37930"
"In post","2021","Corporate Finance","Asian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Asian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Black","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","White","Female","70","60","42570","37870"
"In post","2021","Corporate Finance","White","Male","50","50","52650","47140"
"In post","2021","Counter Fraud","Asian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Asian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","Male","[c]","[c]","[c]","[c]"
