"Status","Year","Parent_department","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Crown Prosecution Service","50","50","41310","39750"
"In post","2021","Attorney General's Departments","Communications","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Serious Fraud Office","280","270","45240","40080"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Crown Prosecution Service","120","120","39820","38180"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Serious Fraud Office","50","50","41680","39270"
"In post","2021","Attorney General's Departments","Finance","Crown Prosecution Service","90","90","32650","30130"
"In post","2021","Attorney General's Departments","Finance","Government Legal Department","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Crown Prosecution Service","140","140","40720","35610"
"In post","2021","Attorney General's Departments","Human Resources","Government Legal Department","70","60","39250","31710"
"In post","2021","Attorney General's Departments","Human Resources","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Crown Prosecution Service","3190","2960","54980","55610"
"In post","2021","Attorney General's Departments","Legal","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Government Legal Department","1980","1830","60120","60680"
"In post","2021","Attorney General's Departments","Legal","Serious Fraud Office","70","60","57610","53810"
"In post","2021","Attorney General's Departments","Operational Delivery","Crown Prosecution Service","3050","2820","27280","25480"
"In post","2021","Attorney General's Departments","Operational Delivery","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","Government Legal Department","390","370","31980","27580"
"In post","2021","Attorney General's Departments","Other","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","Crown Prosecution Service","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Crown Prosecution Service","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Intelligence Analysis","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Knowledge and Information Management","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","Cabinet Office (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Cabinet Office","Policy","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Project Delivery","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Cabinet Office (excl. agencies)","9340","9170","46690","38230"
"In post","2021","Chancellor's other departments","Commercial","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Counter Fraud","National Savings and Investments","[c]","[c]","[c]","[c]"
