"Status","Year","Sexual_orientation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Communications","70","70","42770","39750"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Counter Fraud","180","180","45850","40140"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Digital, Data and Technology","140","140","40910","38180"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Finance","120","110","35170","30970"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Human Resources","180","170","40540","34040"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Legal","3480","3250","55990","53670"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Operational Delivery","2180","2030","27630","25480"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Other","290","280","32490","27580"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Policy","60","60","52310","54760"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Other","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Unknown","4350","4230","48050","40600"
"In post","2021","Heterosexual / straight","Chancellor's other departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chancellor's other departments","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chancellor's other departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chancellor's other departments","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chancellor's other departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chancellor's other departments","Other","200","190","65190","57250"
"In post","2021","Heterosexual / straight","Chancellor's other departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chancellor's other departments","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chancellor's other departments","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chancellor's other departments","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Legal","[c]","[c]","[c]","[c]"
