"Status","Year","Parent_department","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Declared disabled","930","860","44430","43800"
"In post","2021","Attorney General's Departments","Declared non-disabled","6760","6280","45950","49580"
"In post","2021","Attorney General's Departments","Undeclared","140","130","54320","54090"
"In post","2021","Attorney General's Departments","Unknown","2000","1900","41800","39750"
"In post","2021","Cabinet Office","Declared disabled","710","680","43990","38420"
"In post","2021","Cabinet Office","Declared non-disabled","4500","4390","49000","41850"
"In post","2021","Cabinet Office","Undeclared","290","280","44640","38890"
"In post","2021","Cabinet Office","Unknown","3970","3920","44660","32240"
"In post","2021","Chancellor's other departments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Declared non-disabled","330","320","59720","49010"
"In post","2021","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","50","40","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","220","210","35240","29160"
"In post","2021","Charity Commission","Unknown","200","190","34510","29400"
"In post","2021","Competition and Markets Authority","Declared disabled","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared non-disabled","710","690","59490","56360"
"In post","2021","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","80","70","72500","74650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","1030","980","39930","35740"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","8810","8450","42940","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","410","400","45100","40220"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","2910","2790","35640","33570"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared disabled","120","110","47040","39280"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared non-disabled","1330","1300","49620","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","70","70","46060","51440"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","260","260","48520","51610"
"In post","2021","Department for Education","Declared disabled","720","680","41580","37100"
"In post","2021","Department for Education","Declared non-disabled","5580","5370","45030","40940"
"In post","2021","Department for Education","Undeclared","370","360","44130","39760"
"In post","2021","Department for Education","Unknown","1260","1240","39560","36500"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","1150","1090","34260","30400"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","8240","7820","35610","31680"
