"Status","Year","Organisation","Function_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","White","90","80","32680","29190"
"In post","2021","Advisory, Conciliation and Arbitration Service","Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Analysis","White","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","White","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","White","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","Black","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","White","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Mixed","[c]","[c]","[c]","[c]"
