"Status","Year","Function_of_post","Disability","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","20-29","160","150","34040","32540"
"In post","2021","Analysis","Declared disabled","30-39","160","150","42320","37970"
"In post","2021","Analysis","Declared disabled","40-49","130","120","45970","40800"
"In post","2021","Analysis","Declared disabled","50-59","100","100","44810","41990"
"In post","2021","Analysis","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","20-29","1410","1410","36860","34570"
"In post","2021","Analysis","Declared non-disabled","30-39","1320","1270","46600","45200"
"In post","2021","Analysis","Declared non-disabled","40-49","960","900","50500","49100"
"In post","2021","Analysis","Declared non-disabled","50-59","670","640","48370","44950"
"In post","2021","Analysis","Declared non-disabled","60-64","130","110","43540","39850"
"In post","2021","Analysis","Declared non-disabled","65+","40","30","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","20-29","130","120","37000","33930"
"In post","2021","Analysis","Undeclared","30-39","100","100","46170","45540"
"In post","2021","Analysis","Undeclared","40-49","70","70","49070","46080"
"In post","2021","Analysis","Undeclared","50-59","60","50","45490","41760"
"In post","2021","Analysis","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","20-29","790","780","34660","32540"
"In post","2021","Analysis","Unknown","30-39","480","460","43010","38630"
"In post","2021","Analysis","Unknown","40-49","260","250","47210","46070"
"In post","2021","Analysis","Unknown","50-59","140","140","49680","47430"
"In post","2021","Analysis","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","20-29","50","50","[c]","[c]"
"In post","2021","Commercial","Declared disabled","30-39","120","110","37470","35530"
"In post","2021","Commercial","Declared disabled","40-49","160","150","40060","38210"
"In post","2021","Commercial","Declared disabled","50-59","190","180","41240","38680"
"In post","2021","Commercial","Declared disabled","60-64","50","40","[c]","[c]"
"In post","2021","Commercial","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","20-29","550","550","31510","30680"
"In post","2021","Commercial","Declared non-disabled","30-39","870","840","39790","37420"
"In post","2021","Commercial","Declared non-disabled","40-49","1010","980","46840","40580"
"In post","2021","Commercial","Declared non-disabled","50-59","1250","1230","48140","41170"
"In post","2021","Commercial","Declared non-disabled","60-64","240","220","44430","40580"
"In post","2021","Commercial","Declared non-disabled","65+","50","50","40980","33630"
"In post","2021","Commercial","Undeclared","20-29","30","30","[c]","[c]"
"In post","2021","Commercial","Undeclared","30-39","80","70","38190","37530"
"In post","2021","Commercial","Undeclared","40-49","90","90","44760","40950"
"In post","2021","Commercial","Undeclared","50-59","150","150","45690","41770"
"In post","2021","Commercial","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","20-29","290","290","36370","31980"
"In post","2021","Commercial","Unknown","30-39","460","450","51510","49700"
"In post","2021","Commercial","Unknown","40-49","620","610","60190","55460"
"In post","2021","Commercial","Unknown","50-59","550","550","59900","53460"
"In post","2021","Commercial","Unknown","60-64","80","70","51430","49840"
"In post","2021","Commercial","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","20-29","80","80","30310","27190"
"In post","2021","Communications","Declared disabled","30-39","110","110","32630","31810"
"In post","2021","Communications","Declared disabled","40-49","150","140","33580","30730"
"In post","2021","Communications","Declared disabled","50-59","160","150","32930","28460"
"In post","2021","Communications","Declared disabled","60-64","40","30","[c]","[c]"
"In post","2021","Communications","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","20-29","1030","1020","30400","26950"
"In post","2021","Communications","Declared non-disabled","30-39","1440","1390","36370","31810"
"In post","2021","Communications","Declared non-disabled","40-49","1110","1050","39380","34900"
"In post","2021","Communications","Declared non-disabled","50-59","880","850","37090","31810"
"In post","2021","Communications","Declared non-disabled","60-64","210","180","33060","29180"
"In post","2021","Communications","Declared non-disabled","65+","60","50","32140","28130"
"In post","2021","Communications","Undeclared","20-29","70","70","33250","31810"
"In post","2021","Communications","Undeclared","30-39","100","100","36840","33590"
"In post","2021","Communications","Undeclared","40-49","80","70","39770","31810"
"In post","2021","Communications","Undeclared","50-59","90","90","34530","29200"
"In post","2021","Communications","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","20-29","900","890","29460","25560"
"In post","2021","Communications","Unknown","30-39","800","780","34240","31810"
"In post","2021","Communications","Unknown","40-49","500","480","38630","31810"
"In post","2021","Communications","Unknown","50-59","300","290","34380","28130"
"In post","2021","Communications","Unknown","60-64","50","40","[c]","[c]"
"In post","2021","Communications","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","20-29","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","30-39","120","120","32190","31810"
"In post","2021","Counter Fraud","Declared disabled","40-49","210","190","31890","31810"
"In post","2021","Counter Fraud","Declared disabled","50-59","340","320","34530","31810"
"In post","2021","Counter Fraud","Declared disabled","60-64","90","70","33600","31810"
"In post","2021","Counter Fraud","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","20-29","610","600","30220","26980"
"In post","2021","Counter Fraud","Declared non-disabled","30-39","1320","1280","33380","31810"
"In post","2021","Counter Fraud","Declared non-disabled","40-49","1420","1360","34860","31810"
"In post","2021","Counter Fraud","Declared non-disabled","50-59","2020","1930","36180","32100"
"In post","2021","Counter Fraud","Declared non-disabled","60-64","460","350","35200","32260"
"In post","2021","Counter Fraud","Declared non-disabled","65+","100","70","33950","32520"
"In post","2021","Counter Fraud","Undeclared","20-29","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","30-39","100","100","34720","31810"
"In post","2021","Counter Fraud","Undeclared","40-49","170","160","36260","31810"
"In post","2021","Counter Fraud","Undeclared","50-59","250","240","36320","32100"
"In post","2021","Counter Fraud","Undeclared","60-64","70","60","36080","31810"
"In post","2021","Counter Fraud","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","20-29","420","420","28430","25560"
"In post","2021","Counter Fraud","Unknown","30-39","530","510","30860","29570"
"In post","2021","Counter Fraud","Unknown","40-49","480","450","31910","31810"
"In post","2021","Counter Fraud","Unknown","50-59","590","560","33940","31810"
"In post","2021","Counter Fraud","Unknown","60-64","160","130","33160","31810"
"In post","2021","Counter Fraud","Unknown","65+","40","30","[c]","[c]"
"In post","2021","Debt","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Declared disabled","30-39","50","40","[c]","[c]"
"In post","2021","Debt","Declared disabled","40-49","80","70","22800","21440"
"In post","2021","Debt","Declared disabled","50-59","130","110","23430","21440"
"In post","2021","Debt","Declared disabled","60-64","70","50","23710","21440"
