"Status","Year","Parent_department","Ethnicity","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Asian","East Midlands (England)","50","50","36170","28430"
"In post","2021","Attorney General's Departments","Asian","East of England","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","London","590","550","44340","43920"
"In post","2021","Attorney General's Departments","Asian","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","North West (England)","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","West Midlands (England)","100","90","36280","28430"
"In post","2021","Attorney General's Departments","Asian","Yorkshire and The Humber","50","50","42800","48080"
"In post","2021","Attorney General's Departments","Black","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","London","440","420","40550","32160"
"In post","2021","Attorney General's Departments","Black","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","London","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","London","170","160","49120","51250"
"In post","2021","Attorney General's Departments","Mixed","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Wales","[c]","[c]","[c]","[c]"
