"Status","Year","Sex","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Operational Delivery","260","240","21200","21050"
"In post","2021","Female","16-19","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Other","30","30","[c]","[c]"
"In post","2021","Female","16-19","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Tax","80","80","20270","20140"
"In post","2021","Female","16-19","Unknown","190","190","22330","21010"
"In post","2021","Female","20-29","Commercial","450","450","30800","29550"
"In post","2021","Female","20-29","Communications","550","540","33710","32440"
"In post","2021","Female","20-29","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","20-29","Counter Fraud","50","40","[c]","[c]"
"In post","2021","Female","20-29","Digital, Data and Technology","680","670","33550","31810"
"In post","2021","Female","20-29","Economics","420","420","37570","33880"
"In post","2021","Female","20-29","Finance","610","600","32150","30080"
"In post","2021","Female","20-29","Human Resources","780","770","31060","28970"
"In post","2021","Female","20-29","Intelligence Analysis","270","260","33470","30220"
"In post","2021","Female","20-29","Internal Audit","30","30","[c]","[c]"
"In post","2021","Female","20-29","International Trade","230","220","37840","35430"
"In post","2021","Female","20-29","Knowledge and Information Management","150","150","28230","26920"
"In post","2021","Female","20-29","Legal","730","730","34170","30850"
"In post","2021","Female","20-29","Medicine","120","110","29110","27420"
"In post","2021","Female","20-29","Operational Delivery","15800","15340","25150","23970"
"In post","2021","Female","20-29","Operational Research","140","140","33880","32660"
"In post","2021","Female","20-29","Other","1340","1320","27790","26250"
"In post","2021","Female","20-29","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","20-29","Policy","4260","4240","37980","34710"
"In post","2021","Female","20-29","Project Delivery","1110","1100","32900","31810"
"In post","2021","Female","20-29","Property","290","280","28470","26660"
"In post","2021","Female","20-29","Psychology","340","330","27480","27380"
"In post","2021","Female","20-29","Science and Engineering","980","970","29260","28590"
"In post","2021","Female","20-29","Security","300","300","27610","25680"
"In post","2021","Female","20-29","Social Research","290","290","35600","33930"
"In post","2021","Female","20-29","Statistics","330","330","35240","33680"
"In post","2021","Female","20-29","Tax","1780","1730","26460","25560"
"In post","2021","Female","20-29","Unknown","9950","9740","28500","27570"
"In post","2021","Female","20-29","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","30-39","Commercial","710","660","37330","35430"
"In post","2021","Female","30-39","Communications","720","680","42870","40200"
"In post","2021","Female","30-39","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","30-39","Counter Fraud","100","90","35730","33100"
"In post","2021","Female","30-39","Digital, Data and Technology","1190","1140","40720","38450"
"In post","2021","Female","30-39","Economics","220","200","55930","57580"
"In post","2021","Female","30-39","Finance","1070","990","39900","36820"
"In post","2021","Female","30-39","Human Resources","1240","1150","37230","33220"
"In post","2021","Female","30-39","Inspector of Education and Training","50","50","56760","51360"
"In post","2021","Female","30-39","Intelligence Analysis","440","410","33900","30340"
"In post","2021","Female","30-39","Internal Audit","80","80","40620","39200"
"In post","2021","Female","30-39","International Trade","190","190","49680","51970"
"In post","2021","Female","30-39","Knowledge and Information Management","250","230","35520","33300"
"In post","2021","Female","30-39","Legal","1830","1720","47440","51120"
"In post","2021","Female","30-39","Medicine","430","380","41000","37410"
"In post","2021","Female","30-39","Operational Delivery","20410","18230","27740","25560"
"In post","2021","Female","30-39","Operational Research","130","120","45900","46080"
