"Status","Year","Parent_department","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Heterosexual / straight","70","70","43070","39750"
"In post","2021","Attorney General's Departments","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Heterosexual / straight","160","160","45980","40000"
"In post","2021","Attorney General's Departments","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Unknown","60","60","46380","40270"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Heterosexual / straight","140","130","40660","38180"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Heterosexual / straight","130","120","36110","31350"
"In post","2021","Attorney General's Departments","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Heterosexual / straight","170","170","40260","33930"
"In post","2021","Attorney General's Departments","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Heterosexual / straight","5910","5520","44500","48080"
"In post","2021","Attorney General's Departments","Legal","LGBO","390","370","45730","50500"
"In post","2021","Attorney General's Departments","Legal","Undeclared","350","330","48330","51250"
"In post","2021","Attorney General's Departments","Legal","Unknown","2080","1870","47690","52100"
"In post","2021","Attorney General's Departments","No function","Heterosexual / straight","60","60","42330","40000"
"In post","2021","Attorney General's Departments","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Heterosexual / straight","300","290","72280","64500"
"In post","2021","Cabinet Office","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Undeclared","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Unknown","1070","1060","70560","64500"
