"Status","Year","Region_ITL1","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Female","6920","6220","30140","27570"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Male","5370","5170","32040","27570"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Female","3650","3210","26690","24900"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Male","2600","2510","28430","27130"
"In post","2021","East Midlands (England)","Lincolnshire","Female","1450","1320","26730","25600"
"In post","2021","East Midlands (England)","Lincolnshire","Male","1380","1340","29580","27570"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Female","2580","2360","31450","29290"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Male","1960","1900","33820","30760"
"In post","2021","East of England","East Anglia","Female","6370","5720","28940","27140"
"In post","2021","East of England","East Anglia","Male","6090","5880","31370","28430"
"In post","2021","East of England","Essex","Female","3220","2880","29620","29290"
"In post","2021","East of England","Essex","Male","2370","2260","32380","29290"
"In post","2021","London","Inner London - East","Female","9640","9020","40260","33930"
"In post","2021","London","Inner London - East","Male","7560","7360","44310","37660"
"In post","2021","London","Inner London - West","Female","32310","30970","45810","40650"
"In post","2021","London","Inner London - West","Male","28810","28490","48390","43170"
"In post","2021","London","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - East and North East","Female","2270","2060","29870","31060"
"In post","2021","London","Outer London - East and North East","Male","1520","1480","31820","31060"
"In post","2021","London","Outer London - South","Female","6090","5620","35960","31060"
"In post","2021","London","Outer London - South","Male","4660","4560","39570","35200"
"In post","2021","London","Outer London - West and North West","Female","4950","4520","32730","31060"
"In post","2021","London","Outer London - West and North West","Male","4110","3890","33920","31060"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Female","12670","10800","27240","25560"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Male","8700","8320","29850","25860"
"In post","2021","North East (England)","Tees Valley and Durham","Female","5370","4710","27150","25310"
"In post","2021","North East (England)","Tees Valley and Durham","Male","3870","3660","28940","27150"
"In post","2021","North West (England)","Cheshire","Female","2190","2020","29990","27570"
"In post","2021","North West (England)","Cheshire","Male","1710","1670","32950","31650"
"In post","2021","North West (England)","Cumbria","Female","1240","1070","26570","24920"
"In post","2021","North West (England)","Cumbria","Male","900","880","29940","26670"
"In post","2021","North West (England)","Greater Manchester","Female","10750","9810","30180","27570"
"In post","2021","North West (England)","Greater Manchester","Male","8960","8690","31880","27570"
"In post","2021","North West (England)","Lancashire","Female","8270","7260","27680","27130"
"In post","2021","North West (England)","Lancashire","Male","5840","5560","29060","27570"
"In post","2021","North West (England)","Merseyside","Female","11680","10260","27840","25310"
"In post","2021","North West (England)","Merseyside","Male","7800","7500","29930","26300"
"In post","2021","Northern Ireland","Northern Ireland","Female","1760","1590","28400","25560"
"In post","2021","Northern Ireland","Northern Ireland","Male","2060","2000","27630","24890"
"In post","2021","Overseas","Overseas","Female","1500","1490","49160","46620"
"In post","2021","Overseas","Overseas","Male","2260","2250","50540","50430"
"In post","2021","Scotland","Eastern Scotland","Female","10720","9830","33600","28130"
"In post","2021","Scotland","Eastern Scotland","Male","9120","8820","35140","31810"
"In post","2021","Scotland","Highlands and Islands","Female","1010","920","27920","27570"
"In post","2021","Scotland","Highlands and Islands","Male","940","910","29740","27570"
"In post","2021","Scotland","North Eastern Scotland","Female","930","840","32400","27570"
"In post","2021","Scotland","North Eastern Scotland","Male","940","910","39900","33650"
"In post","2021","Scotland","Southern Scotland","Female","3500","3040","28710","26120"
"In post","2021","Scotland","Southern Scotland","Male","2520","2400","30410","27570"
"In post","2021","Scotland","West Central Scotland","Female","9500","8460","29630","26550"
"In post","2021","Scotland","West Central Scotland","Male","8420","8090","31770","27570"
"In post","2021","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Female","4780","4420","31530","28550"
"In post","2021","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Male","4810","4710","34270","31810"
"In post","2021","South East (England)","Hampshire and Isle of Wight","Female","7590","6770","30310","27570"
"In post","2021","South East (England)","Hampshire and Isle of Wight","Male","7760","7390","33880","31070"
"In post","2021","South East (England)","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Kent","Female","4230","3840","28720","27370"
"In post","2021","South East (England)","Kent","Male","4300","4130","30530","29290"
"In post","2021","South East (England)","Surrey, East and West Sussex","Female","4700","4190","29770","27570"
"In post","2021","South East (England)","Surrey, East and West Sussex","Male","3600","3420","31540","28350"
"In post","2021","South West (England)","Cornwall and Isles of Scilly","Female","920","800","26230","26590"
"In post","2021","South West (England)","Cornwall and Isles of Scilly","Male","730","700","27040","26670"
"In post","2021","South West (England)","Devon","Female","4350","3800","29310","27130"
"In post","2021","South West (England)","Devon","Male","4670","4490","33130","30810"
"In post","2021","South West (England)","Dorset and Somerset","Female","2500","2220","28350","27380"
"In post","2021","South West (England)","Dorset and Somerset","Male","2710","2620","30840","28220"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Female","13650","12540","33970","30680"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Male","15660","15290","38630","36010"
"In post","2021","Unknown","Unknown","Female","1200","1130","33020","29250"
"In post","2021","Unknown","Unknown","Male","2530","2510","36930","32700"
"In post","2021","Wales","East Wales","Female","10990","9960","31460","27570"
"In post","2021","Wales","East Wales","Male","9370","9080","33800","28850"
"In post","2021","Wales","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Wales","West Wales and The Valleys","Female","9680","8400","27380","23830"
"In post","2021","Wales","West Wales and The Valleys","Male","6030","5800","30720","26780"
"In post","2021","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Female","2150","1940","27170","25370"
"In post","2021","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Male","1840","1790","29010","26930"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Female","4540","4090","28900","27130"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Male","3770","3640","31030","27570"
"In post","2021","West Midlands (England)","West Midlands","Female","10820","9650","29870","27570"
"In post","2021","West Midlands (England)","West Midlands","Male","7390","7160","32190","27570"
"In post","2021","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Female","2320","2020","26710","26670"
"In post","2021","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Male","2380","2280","29010","27130"
"In post","2021","Yorkshire and The Humber","North Yorkshire","Female","2460","2270","33340","28590"
"In post","2021","Yorkshire and The Humber","North Yorkshire","Male","2270","2210","33670","29930"
"In post","2021","Yorkshire and The Humber","South Yorkshire","Female","5720","5010","30330","27570"
"In post","2021","Yorkshire and The Humber","South Yorkshire","Male","4210","4060","32810","27670"
"In post","2021","Yorkshire and The Humber","West Yorkshire","Female","9560","8550","30760","27570"
"In post","2021","Yorkshire and The Humber","West Yorkshire","Male","7690","7420","32190","27570"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","Female","7780","7030","31230","27570"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","Male","5930","5730","32890","28550"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Female","3700","3280","27470","25220"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Male","2570","2490","29340","27380"
"In post","2022","East Midlands (England)","Lincolnshire","Female","1570","1440","27690","26310"
"In post","2022","East Midlands (England)","Lincolnshire","Male","1440","1390","30160","27570"
"In post","2022","East of England","Bedfordshire and Hertfordshire","Female","2700","2480","32800","29290"
"In post","2022","East of England","Bedfordshire and Hertfordshire","Male","2000","1950","34570","30750"
"In post","2022","East of England","East Anglia","Female","6630","5970","29250","27130"
"In post","2022","East of England","East Anglia","Male","6290","6060","31890","29200"
"In post","2022","East of England","Essex","Female","3150","2820","30510","29290"
"In post","2022","East of England","Essex","Male","2170","2070","32350","29290"
"In post","2022","London","Inner London - East","Female","10360","9750","40580","34610"
