"Status","Year","Age","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Bedfordshire and Hertfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","Male","40","40","[c]","[c]"
"In post","2021","16-19","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","Female","50","50","21200","21010"
"In post","2021","16-19","Eastern Scotland","Male","40","40","[c]","[c]"
"In post","2021","16-19","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Female","50","50","19710","19040"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Male","100","100","18230","17780"
"In post","2021","16-19","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Herefordshire, Worcestershire and Warwickshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Herefordshire, Worcestershire and Warwickshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Highlands and Islands","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Highlands and Islands","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - East","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - East","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - West","Female","50","50","25660","24780"
"In post","2021","16-19","Inner London - West","Male","50","50","[c]","[c]"
"In post","2021","16-19","Kent","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kent","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lancashire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lancashire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicestershire, Rutland and Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicestershire, Rutland and Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Merseyside","Female","30","30","[c]","[c]"
"In post","2021","16-19","Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northumberland and Tyne and Wear","Female","40","40","[c]","[c]"
"In post","2021","16-19","Northumberland and Tyne and Wear","Male","40","40","[c]","[c]"
"In post","2021","16-19","Outer London - East and North East","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - East and North East","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - South","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - South","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - West and North West","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - West and North West","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Shropshire and Staffordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Shropshire and Staffordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Southern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Southern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Surrey, East and West Sussex","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Surrey, East and West Sussex","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tees Valley and Durham","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tees Valley and Durham","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Male","30","30","[c]","[c]"
"In post","2021","16-19","West Central Scotland","Female","30","30","[c]","[c]"
"In post","2021","16-19","West Central Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Wales and The Valleys","Female","40","40","[c]","[c]"
"In post","2021","16-19","West Wales and The Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Yorkshire","Female","30","30","[c]","[c]"
"In post","2021","16-19","West Yorkshire","Male","30","30","[c]","[c]"
"In post","2021","20-29","Bedfordshire and Hertfordshire","Female","400","390","27570","27570"
"In post","2021","20-29","Bedfordshire and Hertfordshire","Male","300","300","29420","29290"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Female","760","750","27130","26970"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Male","720","720","28010","27570"
"In post","2021","20-29","Cheshire","Female","380","380","27120","27570"
"In post","2021","20-29","Cheshire","Male","250","250","26780","26810"
"In post","2021","20-29","Cornwall and Isles of Scilly","Female","70","70","23400","21010"
"In post","2021","20-29","Cornwall and Isles of Scilly","Male","50","50","[c]","[c]"
"In post","2021","20-29","Cumbria","Female","120","120","23020","21050"
"In post","2021","20-29","Cumbria","Male","100","100","24690","23540"
"In post","2021","20-29","Derbyshire and Nottinghamshire","Female","990","960","25450","25480"
"In post","2021","20-29","Derbyshire and Nottinghamshire","Male","870","860","26500","25560"
"In post","2021","20-29","Devon","Female","510","490","25380","24470"
"In post","2021","20-29","Devon","Male","530","530","26340","25380"
"In post","2021","20-29","Dorset and Somerset","Female","270","270","24780","23840"
"In post","2021","20-29","Dorset and Somerset","Male","280","270","25820","25850"
"In post","2021","20-29","East Anglia","Female","800","780","25290","24920"
"In post","2021","20-29","East Anglia","Male","700","690","26110","25850"
"In post","2021","20-29","East Wales","Female","1820","1780","26480","24920"
"In post","2021","20-29","East Wales","Male","1640","1630","26400","25560"
"In post","2021","20-29","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Yorkshire and Northern Lincolnshire","Female","300","290","23880","22920"
"In post","2021","20-29","East Yorkshire and Northern Lincolnshire","Male","340","340","24300","24440"
"In post","2021","20-29","Eastern Scotland","Female","1760","1720","26950","25960"
"In post","2021","20-29","Eastern Scotland","Male","1200","1190","26740","25560"
"In post","2021","20-29","Essex","Female","400","390","26420","25170"
"In post","2021","20-29","Essex","Male","270","270","26940","25850"
"In post","2021","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","Female","2560","2510","27320","26590"
"In post","2021","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","Male","2780","2760","28110","27540"
"In post","2021","20-29","Greater Manchester","Female","1670","1630","26340","25560"
"In post","2021","20-29","Greater Manchester","Male","1610","1600","27310","25560"
"In post","2021","20-29","Hampshire and Isle of Wight","Female","990","960","27300","26670"
"In post","2021","20-29","Hampshire and Isle of Wight","Male","930","920","27620","27570"
"In post","2021","20-29","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Herefordshire, Worcestershire and Warwickshire","Female","290","290","23560","22920"
"In post","2021","20-29","Herefordshire, Worcestershire and Warwickshire","Male","250","240","23790","23970"
"In post","2021","20-29","Highlands and Islands","Female","110","110","25010","22920"
"In post","2021","20-29","Highlands and Islands","Male","80","80","24340","24450"
"In post","2021","20-29","Inner London - East","Female","1830","1810","32790","31060"
"In post","2021","20-29","Inner London - East","Male","1210","1200","34390","32000"
"In post","2021","20-29","Inner London - West","Female","9160","9120","36970","34000"
"In post","2021","20-29","Inner London - West","Male","7320","7300","37890","34640"
"In post","2021","20-29","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Kent","Female","600","590","26460","25560"
"In post","2021","20-29","Kent","Male","610","600","27110","27150"
"In post","2021","20-29","Lancashire","Female","830","800","24250","22850"
"In post","2021","20-29","Lancashire","Male","730","730","23910","21630"
"In post","2021","20-29","Leicestershire, Rutland and Northamptonshire","Female","460","450","23790","22920"
"In post","2021","20-29","Leicestershire, Rutland and Northamptonshire","Male","410","400","24090","22890"
"In post","2021","20-29","Lincolnshire","Female","160","160","25240","25980"
"In post","2021","20-29","Lincolnshire","Male","120","120","26030","26300"
"In post","2021","20-29","Merseyside","Female","1530","1470","24800","24880"
"In post","2021","20-29","Merseyside","Male","1130","1110","24540","24880"
"In post","2021","20-29","North Eastern Scotland","Female","140","130","26920","26160"
