"Status","Year","Organisation","Disability","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared non-disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared non-disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared non-disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared non-disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared non-disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","50-59","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","20-29","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","30-39","50","50","30910","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","40-49","50","50","36490","31040"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","50-59","60","60","38990","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","20-29","60","60","26560","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","30-39","150","140","29920","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","40-49","180","170","33700","31040"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","50-59","230","210","34950","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","60-64","60","50","35990","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","65+","30","20","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared disabled","20-29","50","50","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared disabled","30-39","50","50","25840","24920"
"In post","2021","Animal and Plant Health Agency","Declared disabled","40-49","80","80","28860","26090"
"In post","2021","Animal and Plant Health Agency","Declared disabled","50-59","130","120","30090","25610"
