"Status","Year","Organisation","Ethnicity","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Asian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Black","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Mixed","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","White","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","White","Declared non-disabled","60","60","33010","29190"
"In post","2021","Accountant in Bankruptcy","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Asian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Black","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Mixed","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
