"Status","Year","Responsibility_level","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Analysis","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Department for Environment, Food and Rural Affairs","50","50","[c]","[c]"
"In post","2021","AA/AO","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","United Kingdom Statistics Authority","60","60","19490","19130"
"In post","2021","AA/AO","Commercial","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Department for Transport","40","30","[c]","[c]"
"In post","2021","AA/AO","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Ministry of Defence","240","230","21890","21130"
"In post","2021","AA/AO","Commercial","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Ministry of Justice","90","90","21710","20890"
"In post","2021","AA/AO","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Scottish Government","60","50","23570","24450"
"In post","2021","AA/AO","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Department for Transport","40","30","[c]","[c]"
"In post","2021","AA/AO","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","HM Revenue and Customs","260","220","20790","20660"
"In post","2021","AA/AO","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Ministry of Defence","100","90","21350","21020"
"In post","2021","AA/AO","Communications","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","HM Revenue and Customs","840","730","21470","21440"
"In post","2021","AA/AO","Debt","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Debt","HM Revenue and Customs","3410","3070","20950","20140"
"In post","2021","AA/AO","Digital, Data & Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Department for Transport","50","50","21660","21590"
"In post","2021","AA/AO","Digital, Data & Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
