"Status","Year","Profession_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Asian","230","230","39160","36780"
"In post","2021","Commercial","Black","180","180","38140","36010"
"In post","2021","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","90","80","38980","34800"
"In post","2021","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","230","220","39830","38240"
"In post","2021","Commercial","Unknown","590","570","39310","36900"
"In post","2021","Commercial","White","4010","3860","40840","37850"
"In post","2021","Communications","Asian","180","170","39500","36160"
"In post","2021","Communications","Black","110","110","38430","36320"
"In post","2021","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","110","110","41630","39070"
"In post","2021","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","110","110","40850","39080"
"In post","2021","Communications","Unknown","700","680","42530","38750"
"In post","2021","Communications","White","2720","2610","41600","38310"
"In post","2021","Corporate Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","White","120","110","46920","46080"
"In post","2021","Counter Fraud","Asian","50","50","[c]","[c]"
"In post","2021","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","40","30","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","170","160","41000","38510"
"In post","2021","Counter Fraud","White","590","570","37870","34990"
"In post","2021","Digital, Data and Technology","Asian","870","850","42370","38630"
"In post","2021","Digital, Data and Technology","Black","400","400","40290","37240"
"In post","2021","Digital, Data and Technology","Chinese","60","60","42040","38630"
"In post","2021","Digital, Data and Technology","Mixed","210","210","42750","39440"
"In post","2021","Digital, Data and Technology","Other ethnicity","80","80","41730","38900"
"In post","2021","Digital, Data and Technology","Undeclared","700","680","42090","39210"
"In post","2021","Digital, Data and Technology","Unknown","2210","2180","40470","36830"
"In post","2021","Digital, Data and Technology","White","8760","8500","42050","38630"
"In post","2021","Economics","Asian","180","180","44530","41000"
"In post","2021","Economics","Black","60","60","38110","33210"
"In post","2021","Economics","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Mixed","90","90","45070","43840"
"In post","2021","Economics","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","70","70","50370","54760"
"In post","2021","Economics","Unknown","420","410","43160","36190"
"In post","2021","Economics","White","1300","1270","49070","49120"
"In post","2021","Finance","Asian","750","730","39930","36500"
"In post","2021","Finance","Black","370","370","39750","36810"
"In post","2021","Finance","Chinese","50","50","40470","36310"
"In post","2021","Finance","Mixed","150","140","41130","38390"
"In post","2021","Finance","Other ethnicity","60","60","39270","36840"
"In post","2021","Finance","Undeclared","390","380","41030","37510"
"In post","2021","Finance","Unknown","960","920","37650","33550"
"In post","2021","Finance","White","6430","6080","40790","36960"
"In post","2021","Human Resources","Asian","410","390","37380","34000"
"In post","2021","Human Resources","Black","290","280","37930","34710"
"In post","2021","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Mixed","160","150","40820","37460"
"In post","2021","Human Resources","Other ethnicity","50","50","[c]","[c]"
"In post","2021","Human Resources","Undeclared","220","210","36620","33300"
"In post","2021","Human Resources","Unknown","670","640","35890","32000"
"In post","2021","Human Resources","White","6050","5710","39120","34150"
"In post","2021","Inspector of Education and Training","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Black","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","White","780","760","66770","74730"
"In post","2021","Intelligence Analysis","Asian","190","180","32790","29250"
"In post","2021","Intelligence Analysis","Black","60","60","33580","30560"
"In post","2021","Intelligence Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Mixed","60","60","39240","35450"
"In post","2021","Intelligence Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Undeclared","210","200","35250","31870"
"In post","2021","Intelligence Analysis","Unknown","290","290","43500","41460"
"In post","2021","Intelligence Analysis","White","2540","2430","34310","30980"
"In post","2021","Internal Audit","Asian","80","70","46610","44310"
"In post","2021","Internal Audit","Black","30","30","[c]","[c]"
"In post","2021","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","40","40","[c]","[c]"
"In post","2021","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","White","570","550","45960","42890"
"In post","2021","International Trade","Asian","110","110","42870","38160"
"In post","2021","International Trade","Black","50","50","42650","38540"
"In post","2021","International Trade","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Mixed","40","40","[c]","[c]"
"In post","2021","International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Undeclared","50","50","[c]","[c]"
"In post","2021","International Trade","Unknown","440","430","45480","39110"
"In post","2021","International Trade","White","760","750","48670","50940"
"In post","2021","Knowledge and Information Management","Asian","120","110","34290","32340"
"In post","2021","Knowledge and Information Management","Black","70","70","34260","31390"
"In post","2021","Knowledge and Information Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Mixed","30","30","[c]","[c]"
"In post","2021","Knowledge and Information Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Undeclared","190","170","38180","34720"
