"Status","Year","Sex","Parent_department","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Attorney General's Departments","Asian","620","560","42160","41490"
"In post","2021","Female","Attorney General's Departments","Black","410","380","39860","32410"
"In post","2021","Female","Attorney General's Departments","Chinese","30","30","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Mixed","180","170","46160","50520"
"In post","2021","Female","Attorney General's Departments","Other ethnicity","80","70","48740","51830"
"In post","2021","Female","Attorney General's Departments","Undeclared","80","80","43780","43000"
"In post","2021","Female","Attorney General's Departments","Unknown","740","680","45480","48830"
"In post","2021","Female","Attorney General's Departments","White","4230","3830","43830","43920"
"In post","2021","Female","Cabinet Office","Asian","280","270","44200","38560"
"In post","2021","Female","Cabinet Office","Black","170","170","40040","35590"
"In post","2021","Female","Cabinet Office","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Mixed","110","100","43660","36890"
"In post","2021","Female","Cabinet Office","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Female","Cabinet Office","Undeclared","80","80","44910","40600"
"In post","2021","Female","Cabinet Office","Unknown","2150","2110","42630","32000"
"In post","2021","Female","Cabinet Office","White","2200","2110","46390","40600"
"In post","2021","Female","Chancellor's other departments","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","White","120","110","57680","48450"
"In post","2021","Female","Charity Commission","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Unknown","50","50","[c]","[c]"
"In post","2021","Female","Charity Commission","White","190","170","33700","29160"
"In post","2021","Female","Competition and Markets Authority","Asian","60","60","42590","35270"
"In post","2021","Female","Competition and Markets Authority","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","White","290","270","62780","58920"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Asian","410","390","39490","35300"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","Black","250","250","37750","33640"
