"Status","Year","Region_ITL2","Parent_department","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Attorney General's Departments","Hertfordshire","170","150","42490","40000"
"In post","2021","Bedfordshire and Hertfordshire","Cabinet Office","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Business, Energy and Industrial Strategy","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Business, Energy and Industrial Strategy","Hertfordshire","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Transport","Bedford","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Transport","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Transport","Hertfordshire","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Transport","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Work and Pensions","Bedford","230","210","32000","27570"
"In post","2021","Bedfordshire and Hertfordshire","Department for Work and Pensions","Central Bedfordshire","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Work and Pensions","Hertfordshire","730","670","29560","29290"
"In post","2021","Bedfordshire and Hertfordshire","Department for Work and Pensions","Luton","180","170","26760","27570"
"In post","2021","Bedfordshire and Hertfordshire","Department of Health and Social Care","Hertfordshire","340","330","44700","41010"
"In post","2021","Bedfordshire and Hertfordshire","Food Standards Agency","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Food Standards Agency","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","HM Revenue and Customs","Hertfordshire","50","50","31110","29570"
"In post","2021","Bedfordshire and Hertfordshire","HM Revenue and Customs","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Home Office","Bedford","120","110","28790","26160"
"In post","2021","Bedfordshire and Hertfordshire","Home Office","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Home Office","Luton","150","130","28720","27370"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence","Central Bedfordshire","370","360","30570","27940"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence","Hertfordshire","430","420","40710","37640"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Housing, Communities and Local Government","Hertfordshire","50","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Justice","Bedford","400","380","29090","29470"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Justice","Hertfordshire","720","680","29160","27850"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Justice","Luton","200","180","24060","22510"
"In post","2021","Bedfordshire and Hertfordshire","National Crime Agency","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","National Crime Agency","Hertfordshire","90","80","40390","40130"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Attorney General's Departments","Berkshire","140","130","43310","40000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Cabinet Office","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Cabinet Office","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Cabinet Office","Milton Keynes","90","90","29950","33000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Cabinet Office","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Business, Energy and Industrial Strategy","Berkshire","50","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Business, Energy and Industrial Strategy","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs","Berkshire","370","350","35700","31540"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for International Trade","Berkshire","120","110","47060","51860"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Transport","Berkshire","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Transport","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Transport","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Transport","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Work and Pensions","Berkshire","460","420","29410","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Work and Pensions","Buckinghamshire CC","210","190","27760","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Work and Pensions","Milton Keynes","230","200","27150","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Work and Pensions","Oxfordshire","260","230","27690","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department of Health and Social Care","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department of Health and Social Care","Oxfordshire","370","320","44390","40030"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Food Standards Agency","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office","Milton Keynes","1050","1010","36870","31800"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Revenue and Customs","Berkshire","310","290","34710","32520"
