"Status","Year","Region_ITL3","Parent_department","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Attorney General's Departments","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy","North Eastern Scotland","130","130","47200","41420"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Environment, Food and Rural Affairs","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Transport","North Eastern Scotland","80","70","32730","27680"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Work and Pensions","North Eastern Scotland","370","340","41210","27570"
"In post","2021","Aberdeen City and Aberdeenshire","HM Revenue and Customs","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Home Office","North Eastern Scotland","40","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Defence","North Eastern Scotland","110","100","38630","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Justice","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government","North Eastern Scotland","1120","1060","33530","30650"
"In post","2021","Angus and Dundee City","Department for Transport","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Department for Work and Pensions","Eastern Scotland","960","870","23850","21010"
"In post","2021","Angus and Dundee City","HM Revenue and Customs","Eastern Scotland","300","270","23610","21400"
"In post","2021","Angus and Dundee City","Ministry of Defence","Eastern Scotland","50","50","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Justice","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scottish Government","Eastern Scotland","580","550","31870","27150"
"In post","2021","Antrim and Newtownabbey","Department for Business, Energy and Industrial Strategy","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Home Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Ministry of Defence","Northern Ireland","180","180","23500","20310"
"In post","2021","Ards and North Down","Cabinet Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Department for Transport","Northern Ireland","40","40","[c]","[c]"
