"Status","Year","Region_ITL3","Responsibility_level","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Declared disabled","40","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Declared non-disabled","250","230","26080","22230"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Unknown","250","230","24730","22820"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Declared disabled","40","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Declared non-disabled","330","300","28290","27570"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Unknown","210","200","30960","30930"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Declared non-disabled","90","90","66770","61060"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Declared disabled","40","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Declared non-disabled","380","370","48100","38640"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Unknown","150","140","40510","39500"
"In post","2021","Angus and Dundee City","AA/AO","Declared disabled","180","160","21140","21010"
"In post","2021","Angus and Dundee City","AA/AO","Declared non-disabled","610","560","21090","21010"
"In post","2021","Angus and Dundee City","AA/AO","Undeclared","60","60","20930","21010"
"In post","2021","Angus and Dundee City","AA/AO","Unknown","250","230","21210","21010"
"In post","2021","Angus and Dundee City","EO","Declared disabled","60","60","27480","27570"
"In post","2021","Angus and Dundee City","EO","Declared non-disabled","350","320","27370","27570"
"In post","2021","Angus and Dundee City","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","EO","Unknown","60","60","27670","28130"
"In post","2021","Angus and Dundee City","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","G6/G7","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","Angus and Dundee City","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Declared non-disabled","160","150","36690","34290"
"In post","2021","Angus and Dundee City","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Unknown","50","50","36400","35050"
"In post","2021","Antrim and Newtownabbey","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","AA/AO","Declared non-disabled","90","90","20800","20310"
"In post","2021","Antrim and Newtownabbey","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","AA/AO","Unknown","30","30","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","EO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","EO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","G6/G7","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","SEO/HEO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","SEO/HEO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","AA/AO","Declared non-disabled","100","100","21110","20310"
"In post","2021","Ards and North Down","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","AA/AO","Unknown","40","40","[c]","[c]"
"In post","2021","Ards and North Down","EO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","EO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","G6/G7","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","SEO/HEO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","SEO/HEO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","AA/AO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","AA/AO","Declared non-disabled","80","70","23450","23210"
"In post","2021","Barking & Dagenham and Havering","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","EO","Declared disabled","70","60","30750","31060"
"In post","2021","Barking & Dagenham and Havering","EO","Declared non-disabled","290","260","31030","31060"
"In post","2021","Barking & Dagenham and Havering","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","G6/G7","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","SEO/HEO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","SEO/HEO","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","AA/AO","Declared disabled","30","30","[c]","[c]"
"In post","2021","Barnet","AA/AO","Declared non-disabled","180","150","23840","23530"
"In post","2021","Barnet","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","AA/AO","Unknown","50","50","23680","23600"
"In post","2021","Barnet","EO","Declared disabled","50","40","[c]","[c]"
"In post","2021","Barnet","EO","Declared non-disabled","320","300","29740","31060"
"In post","2021","Barnet","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","EO","Unknown","50","50","30960","32090"
"In post","2021","Barnet","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","G6/G7","Declared non-disabled","160","150","59580","55130"
"In post","2021","Barnet","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","G6/G7","Unknown","130","120","60430","56730"
