"Status","Year","Profession_of_post","Region_ITL1","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","East Midlands (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","White","110","110","45010","43130"
"In post","2021","Commercial","East of England","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","White","210","200","39240","35900"
"In post","2021","Commercial","London","Asian","100","100","41720","38540"
"In post","2021","Commercial","London","Black","100","100","40140","37770"
"In post","2021","Commercial","London","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Mixed","30","30","[c]","[c]"
"In post","2021","Commercial","London","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Unknown","160","160","48330","40970"
"In post","2021","Commercial","London","White","450","440","51040","47700"
"In post","2021","Commercial","North East (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","White","100","100","43250","40780"
"In post","2021","Commercial","North West (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Unknown","60","60","32680","31710"
"In post","2021","Commercial","North West (England)","White","390","380","39440","36500"
"In post","2021","Commercial","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Other ethnicity","[c]","[c]","[c]","[c]"
