"Status","Year","Ethnicity","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Declared non-disabled","180","170","38590","36730"
"In post","2021","Asian","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Declared non-disabled","130","130","40310","37640"
"In post","2021","Asian","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Declared disabled","60","60","38740","34910"
"In post","2021","Asian","Digital, Data and Technology","Declared non-disabled","640","640","43010","39800"
"In post","2021","Asian","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Unknown","140","140","40890","37870"
"In post","2021","Asian","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Declared non-disabled","140","130","44330","39300"
"In post","2021","Asian","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Declared disabled","50","50","38990","36650"
