"Status","Year","Function_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Male","30","30","[c]","[c]"
"In post","2021","Analysis","East of England","Female","170","150","32370","29990"
"In post","2021","Analysis","East of England","Male","220","210","37180","35900"
"In post","2021","Analysis","London","Female","1490","1410","48450","44380"
"In post","2021","Analysis","London","Male","1950","1930","49350","45250"
"In post","2021","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","Male","30","30","[c]","[c]"
"In post","2021","Analysis","North West (England)","Female","170","160","38710","36840"
"In post","2021","Analysis","North West (England)","Male","200","200","38310","38630"
"In post","2021","Analysis","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Male","40","40","[c]","[c]"
"In post","2021","Analysis","South East (England)","Female","370","350","37700","37020"
"In post","2021","Analysis","South East (England)","Male","490","480","40030","37320"
"In post","2021","Analysis","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Female","220","200","36420","33300"
"In post","2021","Analysis","South West (England)","Male","240","240","37600","36000"
"In post","2021","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Female","560","520","35200","33020"
"In post","2021","Analysis","Wales","Male","510","500","37520","36030"
"In post","2021","Analysis","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Female","30","30","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Male","30","30","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Female","180","160","39910","39110"
"In post","2021","Analysis","Yorkshire and The Humber","Male","170","170","43040","42420"
"In post","2021","Commercial","East Midlands (England)","Female","90","80","36840","31930"
"In post","2021","Commercial","East Midlands (England)","Male","80","70","45310","42320"
"In post","2021","Commercial","East of England","Female","220","200","38650","35730"
"In post","2021","Commercial","East of England","Male","180","170","44290","39950"
"In post","2021","Commercial","London","Female","890","860","54130","51260"
"In post","2021","Commercial","London","Male","990","980","63090","56490"
"In post","2021","Commercial","North East (England)","Female","50","50","43700","38280"
"In post","2021","Commercial","North East (England)","Male","60","50","50320","50850"
"In post","2021","Commercial","North West (England)","Female","410","390","41830","37100"
"In post","2021","Commercial","North West (England)","Male","370","360","44580","38990"
"In post","2021","Commercial","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Male","30","30","[c]","[c]"
"In post","2021","Commercial","Scotland","Female","180","170","37780","33930"
"In post","2021","Commercial","Scotland","Male","220","210","38200","34850"
"In post","2021","Commercial","South East (England)","Female","380","360","36030","33300"
"In post","2021","Commercial","South East (England)","Male","300","290","42670","40000"
"In post","2021","Commercial","South West (England)","Female","650","610","39670","35130"
"In post","2021","Commercial","South West (England)","Male","710","700","44690","40900"
"In post","2021","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","Female","190","170","34080","31380"
"In post","2021","Commercial","Wales","Male","170","170","37270","32180"
"In post","2021","Commercial","West Midlands (England)","Female","190","180","39080","36100"
"In post","2021","Commercial","West Midlands (England)","Male","160","160","41780","36970"
"In post","2021","Commercial","Yorkshire and The Humber","Female","280","260","44420","38540"
"In post","2021","Commercial","Yorkshire and The Humber","Male","180","180","46990","43570"
"In post","2021","Communications","East Midlands (England)","Female","240","230","30890","26780"
"In post","2021","Communications","East Midlands (England)","Male","270","260","28820","25560"
"In post","2021","Communications","East of England","Female","50","50","[c]","[c]"
"In post","2021","Communications","East of England","Male","50","50","31950","29230"
"In post","2021","Communications","London","Female","1380","1340","45100","41030"
"In post","2021","Communications","London","Male","1070","1060","44360","40600"
"In post","2021","Communications","North East (England)","Female","800","740","27990","25560"
"In post","2021","Communications","North East (England)","Male","740","730","28000","25560"
"In post","2021","Communications","North West (England)","Female","340","330","31720","29360"
"In post","2021","Communications","North West (England)","Male","370","360","30060","25560"
"In post","2021","Communications","Northern Ireland","Female","[c]","[c]","[c]","[c]"
