"Status","Year","Profession_of_post","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Commercial","2210","2100","38880","36460"
"In post","2021","Commercial","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","No function","140","130","41800","36780"
"In post","2021","Commercial","Female","Project Delivery","410","380","36930","34090"
"In post","2021","Commercial","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Unknown","60","60","39490","39190"
"In post","2021","Commercial","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Commercial","1880","1850","42360","40000"
"In post","2021","Commercial","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","No function","150","150","46450","43000"
"In post","2021","Commercial","Male","Project Delivery","400","390","40390","37400"
"In post","2021","Commercial","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Unknown","50","50","41910","42100"
"In post","2021","Communications","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Communications","2010","1910","41090","37910"
"In post","2021","Communications","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","No function","70","70","42640","39200"
"In post","2021","Communications","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Unknown","200","190","44220","42710"
"In post","2021","Communications","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Communications","1420","1400","41630","37920"
"In post","2021","Communications","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","No function","50","50","39810","38540"
"In post","2021","Communications","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Unknown","140","140","44160","41320"
"In post","2021","Corporate Finance","Female","Analysis","[c]","[c]","[c]","[c]"
