"Status","Year","Responsibility_level","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Declared disabled","Commercial","30","30","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Finance","130","100","21290","21440"
"In post","2021","AA/AO","Declared disabled","Human Resources","130","120","21860","21440"
"In post","2021","AA/AO","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Knowledge and Information Management","50","50","22140","21580"
"In post","2021","AA/AO","Declared disabled","Legal","40","30","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Operational Delivery","7900","6950","22410","21430"
"In post","2021","AA/AO","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Other","820","760","21210","20950"
"In post","2021","AA/AO","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Policy","100","90","23870","23830"
"In post","2021","AA/AO","Declared disabled","Project Delivery","30","30","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Property","70","70","20530","20060"
"In post","2021","AA/AO","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Science and Engineering","150","140","21760","21720"
"In post","2021","AA/AO","Declared disabled","Security","340","330","26850","21580"
"In post","2021","AA/AO","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Tax","160","150","20600","20140"
"In post","2021","AA/AO","Declared disabled","Unknown","5490","4660","21220","21010"
"In post","2021","AA/AO","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared non-disabled","Commercial","150","140","22120","21590"
"In post","2021","AA/AO","Declared non-disabled","Communications","150","140","22170","21590"
"In post","2021","AA/AO","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared non-disabled","Counter Fraud","50","40","[c]","[c]"
"In post","2021","AA/AO","Declared non-disabled","Digital, Data and Technology","260","250","21850","21580"
"In post","2021","AA/AO","Declared non-disabled","Economics","50","50","23780","23760"
"In post","2021","AA/AO","Declared non-disabled","Finance","730","620","21510","21440"
"In post","2021","AA/AO","Declared non-disabled","Human Resources","790","730","21630","21130"
"In post","2021","AA/AO","Declared non-disabled","Intelligence Analysis","110","100","23240","21710"
"In post","2021","AA/AO","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared non-disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared non-disabled","Knowledge and Information Management","230","220","22130","21130"
"In post","2021","AA/AO","Declared non-disabled","Legal","170","150","21580","21440"
"In post","2021","AA/AO","Declared non-disabled","Medicine","220","210","22600","22640"
"In post","2021","AA/AO","Declared non-disabled","Operational Delivery","48780","43770","23010","21440"
"In post","2021","AA/AO","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared non-disabled","Other","5190","4950","21040","20920"
"In post","2021","AA/AO","Declared non-disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared non-disabled","Policy","530","510","23500","23830"
"In post","2021","AA/AO","Declared non-disabled","Project Delivery","220","200","21710","21130"
"In post","2021","AA/AO","Declared non-disabled","Property","620","580","19930","19560"
"In post","2021","AA/AO","Declared non-disabled","Psychology","40","40","[c]","[c]"
"In post","2021","AA/AO","Declared non-disabled","Science and Engineering","930","900","21790","21580"
"In post","2021","AA/AO","Declared non-disabled","Security","3320","3240","25820","21150"
"In post","2021","AA/AO","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared non-disabled","Tax","1310","1220","20320","20140"
"In post","2021","AA/AO","Declared non-disabled","Unknown","24640","21290","21290","21010"
"In post","2021","AA/AO","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Finance","60","50","21560","21440"
"In post","2021","AA/AO","Undeclared","Human Resources","70","60","21670","21130"
"In post","2021","AA/AO","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Operational Delivery","6660","5910","25270","23240"
"In post","2021","AA/AO","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Other","590","550","22220","21130"
"In post","2021","AA/AO","Undeclared","Policy","40","40","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Property","60","60","19700","19560"
"In post","2021","AA/AO","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Science and Engineering","80","80","21570","22040"
"In post","2021","AA/AO","Undeclared","Security","370","360","27940","21880"
"In post","2021","AA/AO","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Tax","50","50","20350","20140"
"In post","2021","AA/AO","Undeclared","Unknown","1450","1300","21240","21010"
"In post","2021","AA/AO","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Commercial","70","60","22890","22760"
"In post","2021","AA/AO","Unknown","Communications","50","50","[c]","[c]"
"In post","2021","AA/AO","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Digital, Data and Technology","120","120","21900","21590"
"In post","2021","AA/AO","Unknown","Economics","30","30","[c]","[c]"
"In post","2021","AA/AO","Unknown","Finance","260","210","21150","20640"
"In post","2021","AA/AO","Unknown","Human Resources","220","200","21590","21130"
"In post","2021","AA/AO","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Knowledge and Information Management","40","30","[c]","[c]"
"In post","2021","AA/AO","Unknown","Legal","80","70","21400","21260"
"In post","2021","AA/AO","Unknown","Medicine","110","110","21020","21140"
"In post","2021","AA/AO","Unknown","Operational Delivery","17600","16060","22190","21440"
"In post","2021","AA/AO","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Other","1260","1190","21710","20920"
"In post","2021","AA/AO","Unknown","Policy","120","120","22900","23000"
"In post","2021","AA/AO","Unknown","Project Delivery","50","50","21550","21440"
"In post","2021","AA/AO","Unknown","Property","270","250","18800","18760"
"In post","2021","AA/AO","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Science and Engineering","240","220","21500","21950"
"In post","2021","AA/AO","Unknown","Security","1400","1380","28990","26610"
"In post","2021","AA/AO","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Tax","2260","2150","20210","20140"
"In post","2021","AA/AO","Unknown","Unknown","2770","2600","21670","21010"
"In post","2021","EO","Declared disabled","Commercial","60","60","26590","26670"
"In post","2021","EO","Declared disabled","Communications","60","60","27510","26780"
"In post","2021","EO","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","EO","Declared disabled","Digital, Data and Technology","250","230","27300","26670"
"In post","2021","EO","Declared disabled","Economics","[c]","[c]","[c]","[c]"
