"Status","Year","Profession_of_post","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Antrim and Newtownabbey","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Antrim and Newtownabbey","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","580","540","37690","34270"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","580","570","41650","38600"
"In post","2021","Commercial","Bedford","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedford","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","Female","40","40","[c]","[c]"
"In post","2021","Commercial","Birmingham","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Blackpool","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Blackpool","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bradford","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bradford","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Breckland and South Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Breckland and South Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bridgend and Neath Port Talbot","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bridgend and Neath Port Talbot","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Brighton and Hove","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Brighton and Hove","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","Female","50","50","38230","36970"
"In post","2021","Commercial","Bristol, City of","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Buckinghamshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Buckinghamshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cambridgeshire CC","Female","40","40","[c]","[c]"
"In post","2021","Commercial","Cambridgeshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Camden and City of London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Camden and City of London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cardiff and Vale of Glamorgan","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cardiff and Vale of Glamorgan","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Bedfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Bedfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Hampshire","Female","80","80","34220","34800"
"In post","2021","Commercial","Central Hampshire","Male","60","60","35440","34650"
"In post","2021","Commercial","Central Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire East","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire East","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chorley and West Lancashire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chorley and West Lancashire","Male","[c]","[c]","[c]","[c]"
