"Status","Year","Region_ITL3","Disability","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","30-39","40","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","50-59","40","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","20-29","100","100","27640","27150"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","30-39","220","210","35350","31060"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","40-49","260","250","44050","36040"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","50-59","350","340","40250","31720"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","60-64","80","70","37290","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","20-29","120","110","26710","25980"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","30-39","160","150","30800","29480"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","40-49","130","130","33880","30650"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","50-59","170","160","35200","33650"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","60-64","40","30","[c]","[c]"
