"Status","Year","Parent_department","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Analysis","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Communications","80","80","42430","39750"
"In post","2021","Attorney General's Departments","Communications","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Counter Fraud","250","240","45590","40000"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Digital, Data and Technology","160","160","40320","38180"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Finance","140","130","36050","31010"
"In post","2021","Attorney General's Departments","Finance","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Human Resources","220","210","39830","33930"
"In post","2021","Attorney General's Departments","Legal","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Legal","5260","4880","57020","55610"
"In post","2021","Attorney General's Departments","Legal","Operational Delivery","3050","2820","27290","25480"
"In post","2021","Attorney General's Departments","Legal","Other","360","350","31000","27580"
"In post","2021","Attorney General's Departments","Legal","Policy","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","No function","Counter Fraud","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","No function","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","No function","Other","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","No function","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","Other","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Policy","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Unknown","1400","1380","70770","64500"
"In post","2021","Cabinet Office","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","Unknown","340","340","47180","42190"
"In post","2021","Cabinet Office","Counter Fraud","Unknown","90","90","47100","49700"
"In post","2021","Cabinet Office","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data & Technology","Unknown","970","950","51310","54700"
"In post","2021","Cabinet Office","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","Unknown","90","90","46670","41820"
"In post","2021","Cabinet Office","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Unknown","1090","1040","39230","35590"
"In post","2021","Cabinet Office","Legal","Unknown","60","50","79760","79760"
"In post","2021","Cabinet Office","No function","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Unknown","4120","4080","40640","32000"
"In post","2021","Cabinet Office","Project Delivery","Unknown","190","190","69400","62550"
"In post","2021","Cabinet Office","Property","Unknown","100","100","50780","52720"
"In post","2021","Cabinet Office","Security","Unknown","870","840","33080","33300"
"In post","2021","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Analysis","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Analysis","Other","180","160","69320","65470"
"In post","2021","Chancellor's other departments","Analysis","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Commercial","Other","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","Other","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","Finance","40","40","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","No function","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","No function","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","No function","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","No function","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","No function","Other","80","80","53670","44000"
"In post","2021","Chancellor's other departments","No function","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","No function","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","Other","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","Other","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
