"Status","Year","Profession_of_post","Responsibility_level","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","AA/AO","Commercial","270","250","22510","21590"
"In post","2021","Commercial","AA/AO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Commercial","540","520","26660","26670"
"In post","2021","Commercial","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Project Delivery","120","120","22680","22900"
"In post","2021","Commercial","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Commercial","720","700","59350","56950"
"In post","2021","Commercial","G6/G7","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","No function","100","100","58530","54760"
"In post","2021","Commercial","G6/G7","Project Delivery","160","150","57820","55110"
"In post","2021","Commercial","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Commercial","80","80","88720","78560"
"In post","2021","Commercial","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Commercial","2270","2190","38290","37940"
"In post","2021","Commercial","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","No function","140","140","35500","36400"
"In post","2021","Commercial","SEO/HEO","Project Delivery","510","490","35190","34290"
"In post","2021","Commercial","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Unknown","80","80","39970","41820"
"In post","2021","Commercial","Unknown","Commercial","220","210","38620","37230"
"In post","2021","Communications","AA/AO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Communications","210","200","22070","21580"
"In post","2021","Communications","AA/AO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Communications","560","540","27400","26970"
"In post","2021","Communications","EO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Unknown","40","40","[c]","[c]"
"In post","2021","Communications","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Communications","810","780","58100","56090"
"In post","2021","Communications","G6/G7","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Legal","[c]","[c]","[c]","[c]"
