"Status","Year","Sexual_orientation","Profession_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Commercial","Asian","210","200","39540","36780"
"In post","2021","Heterosexual / straight","Commercial","Black","150","150","38970","36950"
"In post","2021","Heterosexual / straight","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Mixed","70","70","39130","35180"
"In post","2021","Heterosexual / straight","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Undeclared","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Unknown","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","White","3230","3120","40940","37560"
"In post","2021","Heterosexual / straight","Communications","Asian","150","150","39740","36660"
"In post","2021","Heterosexual / straight","Communications","Black","90","80","39650","37280"
"In post","2021","Heterosexual / straight","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Mixed","90","80","42530","39120"
"In post","2021","Heterosexual / straight","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","White","2190","2110","41730","38310"
"In post","2021","Heterosexual / straight","Corporate Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","White","90","90","47620","46080"
"In post","2021","Heterosexual / straight","Counter Fraud","Asian","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","White","490","460","37760","34820"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Asian","690","680","42420","38630"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Black","350","350","40110","37110"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Chinese","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Mixed","160","160","42890","40300"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Other ethnicity","60","60","42700","39850"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Undeclared","70","70","40900","38870"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Unknown","90","90","38780","35990"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","White","6820","6610","42440","38630"
"In post","2021","Heterosexual / straight","Economics","Asian","160","150","44050","39300"
"In post","2021","Heterosexual / straight","Economics","Black","60","60","37790","33390"
"In post","2021","Heterosexual / straight","Economics","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Mixed","80","70","45600","45660"
"In post","2021","Heterosexual / straight","Economics","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","White","1060","1030","48900","49280"
"In post","2021","Heterosexual / straight","Finance","Asian","660","640","40010","36500"
"In post","2021","Heterosexual / straight","Finance","Black","340","330","40030","37150"
"In post","2021","Heterosexual / straight","Finance","Chinese","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Mixed","120","120","41430","38070"
"In post","2021","Heterosexual / straight","Finance","Other ethnicity","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Undeclared","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Unknown","50","50","37890","36070"
"In post","2021","Heterosexual / straight","Finance","White","5280","5010","41010","36980"
"In post","2021","Heterosexual / straight","Human Resources","Asian","370","350","37200","33870"
"In post","2021","Heterosexual / straight","Human Resources","Black","260","250","38290","35050"
"In post","2021","Heterosexual / straight","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Mixed","120","120","40540","36970"
"In post","2021","Heterosexual / straight","Human Resources","Other ethnicity","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Unknown","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","White","5140","4850","39220","34270"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","Other ethnicity","[c]","[c]","[c]","[c]"
