"Status","Year","Parent_department","Region_ITL1","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","East Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Legal","400","370","39120","34480"
"In post","2021","Attorney General's Departments","East of England","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Legal","470","420","40520","34480"
"In post","2021","Attorney General's Departments","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Communications","70","70","44370","39750"
"In post","2021","Attorney General's Departments","London","Counter Fraud","250","240","45590","40000"
"In post","2021","Attorney General's Departments","London","Digital, Data & Technology","90","90","41730","35290"
"In post","2021","Attorney General's Departments","London","Finance","80","70","43360","33930"
"In post","2021","Attorney General's Departments","London","Human Resources","110","110","41340","35010"
"In post","2021","Attorney General's Departments","London","Legal","3900","3650","51150","51730"
"In post","2021","Attorney General's Departments","London","No function","90","80","41110","38450"
"In post","2021","Attorney General's Departments","London","Project Delivery","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Unknown","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Legal","320","290","38090","32210"
"In post","2021","Attorney General's Departments","North East (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Human Resources","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Legal","910","850","39630","34480"
"In post","2021","Attorney General's Departments","North West (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Human Resources","[c]","[c]","[c]","[c]"
