"Status","Year","Age","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","East Midlands (England)","60","60","21390","20980"
"In post","2021","16-19","East of England","60","50","22820","21430"
"In post","2021","16-19","London","160","150","25180","24640"
"In post","2021","16-19","North East (England)","100","90","21080","20610"
"In post","2021","16-19","North West (England)","140","140","21040","21010"
"In post","2021","16-19","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","180","170","20670","20760"
"In post","2021","16-19","South East (England)","130","120","22050","21430"
"In post","2021","16-19","South West (England)","180","180","18850","18870"
"In post","2021","16-19","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","Wales","130","120","20310","20140"
"In post","2021","16-19","West Midlands (England)","60","60","21390","20980"
"In post","2021","16-19","Yorkshire and The Humber","100","100","21210","20880"
"In post","2021","20-29","East Midlands (England)","3010","2950","25330","25200"
"In post","2021","20-29","East of England","2870","2810","26550","25850"
"In post","2021","20-29","London","23000","22860","35830","33210"
"In post","2021","20-29","North East (England)","3930","3830","24930","23970"
"In post","2021","20-29","North West (England)","8350","8180","25560","24890"
"In post","2021","20-29","Northern Ireland","420","410","23340","20310"
"In post","2021","20-29","Overseas","310","310","37350","34220"
"In post","2021","20-29","Scotland","6520","6390","26230","25410"
"In post","2021","20-29","South East (England)","5730","5650","27240","27130"
"In post","2021","20-29","South West (England)","7050","6950","27200","26670"
"In post","2021","20-29","Unknown","890","890","29890","29250"
"In post","2021","20-29","Wales","5250","5130","25540","23830"
"In post","2021","20-29","West Midlands (England)","4290","4210","25400","24830"
"In post","2021","20-29","Yorkshire and The Humber","5800","5710","26200","25300"
"In post","2021","30-39","East Midlands (England)","4240","3960","28820","27370"
"In post","2021","30-39","East of England","4060","3810","30300","29270"
"In post","2021","30-39","London","24320","23570","45710","41970"
"In post","2021","30-39","North East (England)","6210","5770","28130","25560"
"In post","2021","30-39","North West (England)","12060","11380","29180","27370"
"In post","2021","30-39","Northern Ireland","830","790","28130","25560"
"In post","2021","30-39","Overseas","1060","1060","47130","50940"
"In post","2021","30-39","Scotland","10330","9830","32120","29140"
"In post","2021","30-39","South East (England)","7540","7130","31440","29290"
"In post","2021","30-39","South West (England)","9510","8970","33930","32150"
"In post","2021","30-39","Unknown","780","770","36640","32700"
"In post","2021","30-39","Wales","8660","8090","29870","27570"
"In post","2021","30-39","West Midlands (England)","6310","5940","29400","27570"
"In post","2021","30-39","Yorkshire and The Humber","7490","6990","30800","27570"
"In post","2021","40-49","East Midlands (England)","4980","4600","31180","27570"
"In post","2021","40-49","East of England","5290","4910","32040","29290"
"In post","2021","40-49","London","22300","21180","48360","42470"
"In post","2021","40-49","North East (England)","7480","6860","29770","27370"
"In post","2021","40-49","North West (England)","14560","13510","30940","27570"
