"Status","Year","Sex","Region_ITL2","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Bedfordshire and Hertfordshire","East of England","2580","2360","31450","29290"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","4780","4420","31530","28550"
"In post","2021","Female","Cheshire","North West (England)","2190","2020","29990","27570"
"In post","2021","Female","Cornwall and Isles of Scilly","South West (England)","920","800","26230","26590"
"In post","2021","Female","Cumbria","North West (England)","1240","1070","26570","24920"
"In post","2021","Female","Derbyshire and Nottinghamshire","East Midlands (England)","6920","6220","30140","27570"
"In post","2021","Female","Devon","South West (England)","4350","3800","29310","27130"
"In post","2021","Female","Dorset and Somerset","South West (England)","2500","2220","28350","27380"
"In post","2021","Female","East Anglia","East of England","6370","5720","28940","27140"
"In post","2021","Female","East Wales","Wales","10990","9960","31460","27570"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","2320","2020","26710","26670"
"In post","2021","Female","Eastern Scotland","Scotland","10720","9830","33600","28130"
"In post","2021","Female","Essex","East of England","3220","2880","29620","29290"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","13650","12540","33970","30680"
"In post","2021","Female","Greater Manchester","North West (England)","10750","9810","30180","27570"
"In post","2021","Female","Hampshire and Isle of Wight","South East (England)","7590","6770","30310","27570"
"In post","2021","Female","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","2150","1940","27170","25370"
"In post","2021","Female","Highlands and Islands","Scotland","1010","920","27920","27570"
"In post","2021","Female","Inner London - East","London","9640","9020","40260","33930"
"In post","2021","Female","Inner London - West","London","32310","30970","45810","40650"
"In post","2021","Female","Kent","South East (England)","4230","3840","28720","27370"
"In post","2021","Female","Lancashire","North West (England)","8270","7260","27680","27130"
"In post","2021","Female","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","3650","3210","26690","24900"
"In post","2021","Female","Lincolnshire","East Midlands (England)","1450","1320","26730","25600"
"In post","2021","Female","Merseyside","North West (England)","11680","10260","27840","25310"
"In post","2021","Female","North Eastern Scotland","Scotland","930","840","32400","27570"
