"Status","Year","Sexual_orientation","Region_ITL2","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","East of England","3210","3020","32490","29290"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","6630","6320","32870","29490"
"In post","2021","Heterosexual / straight","Cheshire","North West (England)","2710","2570","31780","28840"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","South West (England)","1120","1030","26720","26670"
"In post","2021","Heterosexual / straight","Cumbria","North West (England)","1300","1180","28720","26030"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","East Midlands (England)","7880","7310","31630","27570"
"In post","2021","Heterosexual / straight","Devon","South West (England)","4890","4480","29560","27150"
"In post","2021","Heterosexual / straight","Dorset and Somerset","South West (England)","3600","3360","29570","27570"
"In post","2021","Heterosexual / straight","East Anglia","East of England","8650","8070","30160","27570"
"In post","2021","Heterosexual / straight","East Wales","Wales","13240","12420","33510","28850"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","3230","2960","27990","26930"
"In post","2021","Heterosexual / straight","Eastern Scotland","Scotland","10990","10370","35780","30650"
"In post","2021","Heterosexual / straight","Essex","East of England","3770","3470","30920","29290"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","21400","20380","36600","33300"
"In post","2021","Heterosexual / straight","Greater Manchester","North West (England)","12500","11760","31640","27570"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","South East (England)","10870","10060","32140","28650"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","2810","2640","28190","26670"
"In post","2021","Heterosexual / straight","Highlands and Islands","Scotland","1130","1060","28600","27570"
"In post","2021","Heterosexual / straight","Inner London - East","London","10880","10390","42200","36160"
"In post","2021","Heterosexual / straight","Inner London - West","London","39170","38070","47480","42470"
"In post","2021","Heterosexual / straight","Kent","South East (England)","5980","5600","29530","28130"
"In post","2021","Heterosexual / straight","Lancashire","North West (England)","9150","8360","28690","27570"
"In post","2021","Heterosexual / straight","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","4150","3810","27770","26520"
"In post","2021","Heterosexual / straight","Lincolnshire","East Midlands (England)","2110","2000","27970","26670"
"In post","2021","Heterosexual / straight","Merseyside","North West (England)","13330","12220","29050","25560"
"In post","2021","Heterosexual / straight","North Eastern Scotland","Scotland","1070","1010","38000","31700"
"In post","2021","Heterosexual / straight","North Yorkshire","Yorkshire and The Humber","3320","3150","33950","30040"
"In post","2021","Heterosexual / straight","Northern Ireland","Northern Ireland","2630","2470","28590","25560"
"In post","2021","Heterosexual / straight","Northumberland and Tyne and Wear","North East (England)","13280","11970","29110","26120"
"In post","2021","Heterosexual / straight","Outer London - East and North East","London","2400","2260","30920","31060"
"In post","2021","Heterosexual / straight","Outer London - South","London","7630","7220","37860","34820"
"In post","2021","Heterosexual / straight","Outer London - West and North West","London","6230","5800","32680","31060"
"In post","2021","Heterosexual / straight","Overseas","Overseas","2500","2480","49920","50430"
"In post","2021","Heterosexual / straight","Shropshire and Staffordshire","West Midlands (England)","5840","5470","30160","27570"
"In post","2021","Heterosexual / straight","South Yorkshire","Yorkshire and The Humber","7150","6520","31410","27570"
"In post","2021","Heterosexual / straight","Southern Scotland","Scotland","3380","3070","30670","27570"
"In post","2021","Heterosexual / straight","Surrey, East and West Sussex","South East (England)","5470","5020","30710","27570"
"In post","2021","Heterosexual / straight","Tees Valley and Durham","North East (England)","6350","5770","28150","26300"
"In post","2021","Heterosexual / straight","Unknown","Unknown","1000","950","33440","27570"
"In post","2021","Heterosexual / straight","West Central Scotland","Scotland","11210","10380","31140","27570"
"In post","2021","Heterosexual / straight","West Midlands","West Midlands (England)","11710","10870","31160","27570"
"In post","2021","Heterosexual / straight","West Wales and The Valleys","Wales","10510","9620","29420","26780"
"In post","2021","Heterosexual / straight","West Yorkshire","Yorkshire and The Humber","10650","9850","31970","27570"
"In post","2021","LGBO","Bedfordshire and Hertfordshire","East of England","160","150","31150","29290"
"In post","2021","LGBO","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","360","350","31090","29290"
"In post","2021","LGBO","Cheshire","North West (England)","190","180","30650","27570"
"In post","2021","LGBO","Cornwall and Isles of Scilly","South West (England)","50","40","[c]","[c]"
"In post","2021","LGBO","Cumbria","North West (England)","70","60","28130","25790"
"In post","2021","LGBO","Derbyshire and Nottinghamshire","East Midlands (England)","480","460","30580","27570"
"In post","2021","LGBO","Devon","South West (England)","260","250","27200","26520"
"In post","2021","LGBO","Dorset and Somerset","South West (England)","170","160","28320","27570"
"In post","2021","LGBO","East Anglia","East of England","390","380","28250","27150"
"In post","2021","LGBO","East Wales","Wales","860","840","31770","27570"
"In post","2021","LGBO","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","160","160","26990","26300"
"In post","2021","LGBO","Eastern Scotland","Scotland","760","750","34300","30580"
"In post","2021","LGBO","Essex","East of England","200","190","30350","29290"
"In post","2021","LGBO","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","1020","990","33230","29180"
"In post","2021","LGBO","Greater Manchester","North West (England)","980","960","30790","27570"
"In post","2021","LGBO","Hampshire and Isle of Wight","South East (England)","500","490","30300","27570"
"In post","2021","LGBO","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","140","140","28470","24920"
"In post","2021","LGBO","Highlands and Islands","Scotland","30","30","[c]","[c]"
"In post","2021","LGBO","Inner London - East","London","790","770","42240","36160"
"In post","2021","LGBO","Inner London - West","London","3620","3570","47160","42640"
"In post","2021","LGBO","Kent","South East (England)","340","330","30280","29290"
"In post","2021","LGBO","Lancashire","North West (England)","460","440","27410","27010"
"In post","2021","LGBO","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","230","220","27690","27570"
"In post","2021","LGBO","Lincolnshire","East Midlands (England)","80","80","27340","27570"
"In post","2021","LGBO","Merseyside","North West (England)","600","570","28590","25560"
"In post","2021","LGBO","North Eastern Scotland","Scotland","60","60","33630","28410"
"In post","2021","LGBO","North Yorkshire","Yorkshire and The Humber","190","180","33010","28890"
"In post","2021","LGBO","Northern Ireland","Northern Ireland","100","90","26250","25310"
"In post","2021","LGBO","Northumberland and Tyne and Wear","North East (England)","700","670","28290","25560"
"In post","2021","LGBO","Outer London - East and North East","London","120","110","31700","31060"
"In post","2021","LGBO","Outer London - South","London","300","290","39300","35070"
"In post","2021","LGBO","Outer London - West and North West","London","280","270","33880","31060"
"In post","2021","LGBO","Overseas","Overseas","170","170","51520","53000"
"In post","2021","LGBO","Shropshire and Staffordshire","West Midlands (England)","310","300","28010","26670"
"In post","2021","LGBO","South Yorkshire","Yorkshire and The Humber","390","370","31400","27570"
"In post","2021","LGBO","Southern Scotland","Scotland","150","140","30940","27570"
"In post","2021","LGBO","Surrey, East and West Sussex","South East (England)","450","430","29230","27570"
"In post","2021","LGBO","Tees Valley and Durham","North East (England)","300","280","28370","26810"
"In post","2021","LGBO","Unknown","Unknown","70","60","32570","27570"
"In post","2021","LGBO","West Central Scotland","Scotland","640","610","30380","27570"
"In post","2021","LGBO","West Midlands","West Midlands (England)","560","530","30880","27570"
"In post","2021","LGBO","West Wales and The Valleys","Wales","460","440","28300","25440"
"In post","2021","LGBO","West Yorkshire","Yorkshire and The Humber","720","690","30950","27570"
"In post","2021","Undeclared","Bedfordshire and Hertfordshire","East of England","420","390","33150","30630"
"In post","2021","Undeclared","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","890","850","33460","31810"
"In post","2021","Undeclared","Cheshire","North West (England)","320","300","31320","30480"
"In post","2021","Undeclared","Cornwall and Isles of Scilly","South West (England)","160","140","27340","26670"
"In post","2021","Undeclared","Cumbria","North West (England)","170","160","30340","26740"
"In post","2021","Undeclared","Derbyshire and Nottinghamshire","East Midlands (England)","1120","1020","31600","27570"
"In post","2021","Undeclared","Devon","South West (England)","690","620","30720","27570"
"In post","2021","Undeclared","Dorset and Somerset","South West (England)","560","520","30310","27570"
"In post","2021","Undeclared","East Anglia","East of England","1220","1140","30640","27570"
"In post","2021","Undeclared","East Wales","Wales","1760","1630","33470","28750"
"In post","2021","Undeclared","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","490","450","28650","27370"
"In post","2021","Undeclared","Eastern Scotland","Scotland","2030","1880","31530","27570"
"In post","2021","Undeclared","Essex","East of England","550","500","30670","28200"
"In post","2021","Undeclared","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","3100","2920","38170","36030"
"In post","2021","Undeclared","Greater Manchester","North West (England)","1600","1480","30970","27570"
"In post","2021","Undeclared","Hampshire and Isle of Wight","South East (England)","1530","1430","32970","31040"
"In post","2021","Undeclared","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","360","340","28570","26850"
"In post","2021","Undeclared","Highlands and Islands","Scotland","210","180","28440","27470"
"In post","2021","Undeclared","Inner London - East","London","1520","1430","42230","36260"
"In post","2021","Undeclared","Inner London - West","London","4990","4850","47000","42550"
"In post","2021","Undeclared","Kent","South East (England)","910","830","30140","27370"
"In post","2021","Undeclared","Lancashire","North West (England)","1090","970","28330","27570"
"In post","2021","Undeclared","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","590","540","27650","26780"
"In post","2021","Undeclared","Lincolnshire","East Midlands (England)","300","280","29250","26780"
"In post","2021","Undeclared","Merseyside","North West (England)","1440","1290","29210","26370"
"In post","2021","Undeclared","North Eastern Scotland","Scotland","210","190","34990","27570"
"In post","2021","Undeclared","North Yorkshire","Yorkshire and The Humber","420","390","32430","30040"
"In post","2021","Undeclared","Northern Ireland","Northern Ireland","230","210","28130","25560"
"In post","2021","Undeclared","Northumberland and Tyne and Wear","North East (England)","1450","1290","28740","25560"
"In post","2021","Undeclared","Outer London - East and North East","London","330","300","30620","30780"
"In post","2021","Undeclared","Outer London - South","London","1160","1090","37670","33820"
"In post","2021","Undeclared","Outer London - West and North West","London","1030","940","33980","31060"
"In post","2021","Undeclared","Overseas","Overseas","370","370","47650","41800"
"In post","2021","Undeclared","Shropshire and Staffordshire","West Midlands (England)","700","640","29960","27570"
"In post","2021","Undeclared","South Yorkshire","Yorkshire and The Humber","850","780","31330","27570"
"In post","2021","Undeclared","Southern Scotland","Scotland","460","410","27440","25880"
"In post","2021","Undeclared","Surrey, East and West Sussex","South East (England)","890","800","31390","28350"
"In post","2021","Undeclared","Tees Valley and Durham","North East (England)","710","640","28610","27130"
"In post","2021","Undeclared","Unknown","Unknown","120","110","32440","27570"
"In post","2021","Undeclared","West Central Scotland","Scotland","1630","1480","29310","26670"
"In post","2021","Undeclared","West Midlands","West Midlands (England)","1440","1310","30660","27570"
"In post","2021","Undeclared","West Wales and The Valleys","Wales","2390","2050","27580","21590"
"In post","2021","Undeclared","West Yorkshire","Yorkshire and The Humber","1290","1170","31060","27570"
"In post","2021","Unknown","Bedfordshire and Hertfordshire","East of England","750","690","32310","29290"
"In post","2021","Unknown","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","1720","1610","33100","29920"
"In post","2021","Unknown","Cheshire","North West (England)","690","630","29520","27570"
"In post","2021","Unknown","Cornwall and Isles of Scilly","South West (England)","320","280","25940","25260"
"In post","2021","Unknown","Cumbria","North West (England)","610","540","25740","21050"
"In post","2021","Unknown","Derbyshire and Nottinghamshire","East Midlands (England)","2810","2590","28930","27130"
"In post","2021","Unknown","Devon","South West (England)","3180","2940","34400","32730"
"In post","2021","Unknown","Dorset and Somerset","South West (England)","890","800","29800","27570"
"In post","2021","Unknown","East Anglia","East of England","2210","2010","30070","27570"
"In post","2021","Unknown","East Wales","Wales","4520","4170","29450","25560"
"In post","2021","Unknown","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","820","740","27110","26750"
"In post","2021","Unknown","Eastern Scotland","Scotland","6060","5650","32570","28410"
"In post","2021","Unknown","Essex","East of England","1070","970","30480","29050"
"In post","2021","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","3790","3540","35140","31370"
