"Status","Year","Function_of_post","Profession_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","EO","40","40","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","G6/G7","70","60","56590","54160"
"In post","2021","Analysis","Digital, Data and Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","SEO/HEO","120","120","38880","39890"
"In post","2021","Analysis","Economics","AA/AO","50","50","[c]","[c]"
"In post","2021","Analysis","Economics","EO","90","90","27180","27680"
"In post","2021","Analysis","Economics","G6/G7","510","490","59910","58130"
"In post","2021","Analysis","Economics","SCS","60","60","90730","82810"
"In post","2021","Analysis","Economics","SEO/HEO","580","570","34860","33930"
"In post","2021","Analysis","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","G6/G7","200","200","57990","54320"
"In post","2021","Analysis","Intelligence Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","SEO/HEO","70","70","36850","36080"
"In post","2021","Analysis","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","AA/AO","30","30","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","EO","180","160","24920","24240"
"In post","2021","Analysis","Operational Delivery","G6/G7","60","50","53880","49410"
"In post","2021","Analysis","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","SEO/HEO","330","310","33590","32540"
"In post","2021","Analysis","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","G6/G7","280","260","55120","56350"
"In post","2021","Analysis","Operational Research","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","SEO/HEO","330","320","36790","37320"
"In post","2021","Analysis","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","G6/G7","120","110","84100","79450"
"In post","2021","Analysis","Other","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","SEO/HEO","60","60","40620","38000"
"In post","2021","Analysis","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","G6/G7","130","120","57560","54400"
"In post","2021","Analysis","Policy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","SEO/HEO","180","180","40180","41900"
"In post","2021","Analysis","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","G6/G7","[c]","[c]","[c]","[c]"
