"Status","Year","Region_ITL1","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Female","Commercial","70","60","40050","39040"
"In post","2021","East Midlands (England)","Female","Communications","70","70","36170","33960"
"In post","2021","East Midlands (England)","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Female","Digital, Data and Technology","110","100","36210","32180"
"In post","2021","East Midlands (England)","Female","Finance","120","110","33760","30370"
"In post","2021","East Midlands (England)","Female","Human Resources","260","250","37800","33840"
"In post","2021","East Midlands (England)","Female","Inspector of Education and Training","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Female","Intelligence Analysis","60","50","28190","26850"
"In post","2021","East Midlands (England)","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Female","Knowledge and Information Management","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Female","Legal","270","240","43150","45700"
"In post","2021","East Midlands (England)","Female","Medicine","140","130","42730","37890"
"In post","2021","East Midlands (England)","Female","Operational Delivery","5540","4960","26420","23910"
"In post","2021","East Midlands (England)","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Female","Other","480","450","23470","21130"
"In post","2021","East Midlands (England)","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Female","Policy","170","150","40170","36780"
"In post","2021","East Midlands (England)","Female","Project Delivery","200","190","37970","34120"
"In post","2021","East Midlands (England)","Female","Property","230","210","31760","28660"
"In post","2021","East Midlands (England)","Female","Psychology","150","150","34650","30450"
"In post","2021","East Midlands (England)","Female","Science and Engineering","170","160","39160","37890"
"In post","2021","East Midlands (England)","Female","Security","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Female","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Female","Tax","620","570","32560","31810"
"In post","2021","East Midlands (England)","Female","Unknown","3180","2730","26190","27570"
"In post","2021","East Midlands (England)","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Male","Commercial","70","60","45880","46870"
"In post","2021","East Midlands (England)","Male","Communications","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Male","Digital, Data and Technology","180","170","36300","32300"
"In post","2021","East Midlands (England)","Male","Finance","80","80","38080","33300"
"In post","2021","East Midlands (England)","Male","Human Resources","110","100","37720","33350"
"In post","2021","East Midlands (England)","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Male","Intelligence Analysis","70","70","30960","31810"
"In post","2021","East Midlands (England)","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Male","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Male","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Male","Legal","240","230","41520","38630"
