"Status","Year","Parent_department","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Analysis","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Analysis","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Analysis","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","London","70","70","44370","39750"
"In post","2021","Attorney General's Departments","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","London","250","240","45590","40000"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","London","90","90","41730","35290"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Yorkshire and The Humber","50","50","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","London","80","70","43360","33930"
"In post","2021","Attorney General's Departments","Finance","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Yorkshire and The Humber","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","London","110","110","41340","35010"
"In post","2021","Attorney General's Departments","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","North West (England)","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Yorkshire and The Humber","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","East Midlands (England)","400","370","39120","34480"
