"Status","Year","Profession_of_post","Responsibility_level","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","AA/AO","Declared disabled","30","30","[c]","[c]"
"In post","2021","Commercial","AA/AO","Declared non-disabled","150","140","22120","21590"
"In post","2021","Commercial","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Unknown","70","60","22890","22760"
"In post","2021","Commercial","EO","Declared disabled","60","60","26590","26670"
"In post","2021","Commercial","EO","Declared non-disabled","480","460","25990","26510"
"In post","2021","Commercial","EO","Undeclared","50","40","[c]","[c]"
"In post","2021","Commercial","EO","Unknown","120","120","25460","25000"
"In post","2021","Commercial","G6/G7","Declared disabled","80","70","59320","56490"
"In post","2021","Commercial","G6/G7","Declared non-disabled","700","680","59630","57200"
"In post","2021","Commercial","G6/G7","Undeclared","70","70","62400","58440"
"In post","2021","Commercial","G6/G7","Unknown","170","170","54810","53360"
"In post","2021","Commercial","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Declared non-disabled","60","60","90190","83090"
"In post","2021","Commercial","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Declared disabled","300","290","38190","38010"
"In post","2021","Commercial","SEO/HEO","Declared non-disabled","1970","1910","37800","37320"
"In post","2021","Commercial","SEO/HEO","Undeclared","200","200","39970","39990"
"In post","2021","Commercial","SEO/HEO","Unknown","570","550","36010","36200"
"In post","2021","Commercial","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Declared non-disabled","150","150","38350","35230"
"In post","2021","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Declared non-disabled","150","140","22170","21590"
"In post","2021","Communications","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Unknown","50","50","[c]","[c]"
"In post","2021","Communications","EO","Declared disabled","60","60","27510","26780"
"In post","2021","Communications","EO","Declared non-disabled","370","350","27540","26930"
"In post","2021","Communications","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Unknown","190","180","27230","27270"
"In post","2021","Communications","G6/G7","Declared disabled","40","40","[c]","[c]"
"In post","2021","Communications","G6/G7","Declared non-disabled","620","590","58160","57290"
"In post","2021","Communications","G6/G7","Undeclared","50","50","[c]","[c]"
"In post","2021","Communications","G6/G7","Unknown","240","240","57840","55390"
"In post","2021","Communications","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Declared non-disabled","80","70","85920","80790"
"In post","2021","Communications","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Unknown","30","30","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Declared disabled","140","130","37230","36960"
"In post","2021","Communications","SEO/HEO","Declared non-disabled","1330","1300","38020","37420"
"In post","2021","Communications","SEO/HEO","Undeclared","110","110","37970","37880"
"In post","2021","Communications","SEO/HEO","Unknown","450","430","37950","37540"
"In post","2021","Communications","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Declared non-disabled","60","50","57430","56350"
"In post","2021","Corporate Finance","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Declared non-disabled","50","50","36890","37510"
"In post","2021","Corporate Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Declared non-disabled","130","120","26470","25580"
"In post","2021","Counter Fraud","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Declared non-disabled","80","80","61800","58990"
"In post","2021","Counter Fraud","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Declared disabled","40","40","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Declared non-disabled","350","330","38240","39170"
"In post","2021","Counter Fraud","SEO/HEO","Undeclared","50","50","35230","34390"
"In post","2021","Counter Fraud","SEO/HEO","Unknown","90","80","36150","34500"
"In post","2021","Digital, Data and Technology","AA/AO","Declared disabled","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Declared non-disabled","260","250","21850","21580"
"In post","2021","Digital, Data and Technology","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Unknown","120","120","21900","21590"
"In post","2021","Digital, Data and Technology","EO","Declared disabled","250","230","27300","26670"
"In post","2021","Digital, Data and Technology","EO","Declared non-disabled","1260","1210","27500","26670"
"In post","2021","Digital, Data and Technology","EO","Undeclared","120","110","28230","26780"
"In post","2021","Digital, Data and Technology","EO","Unknown","600","580","27440","26740"
"In post","2021","Digital, Data and Technology","G6/G7","Declared disabled","210","210","58530","57580"
"In post","2021","Digital, Data and Technology","G6/G7","Declared non-disabled","2290","2250","58440","57110"
"In post","2021","Digital, Data and Technology","G6/G7","Undeclared","170","170","58280","57110"
"In post","2021","Digital, Data and Technology","G6/G7","Unknown","790","780","57970","56420"
"In post","2021","Digital, Data and Technology","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","Declared non-disabled","150","150","92430","86950"
"In post","2021","Digital, Data and Technology","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","Unknown","50","50","88270","81400"
"In post","2021","Digital, Data and Technology","SEO/HEO","Declared disabled","520","500","37250","36790"
"In post","2021","Digital, Data and Technology","SEO/HEO","Declared non-disabled","4380","4250","37970","37940"
"In post","2021","Digital, Data and Technology","SEO/HEO","Undeclared","390","380","37800","38000"
"In post","2021","Digital, Data and Technology","SEO/HEO","Unknown","1590","1560","37300","36820"
"In post","2021","Digital, Data and Technology","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","AA/AO","Declared non-disabled","50","50","23780","23760"
"In post","2021","Economics","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","AA/AO","Unknown","30","30","[c]","[c]"
"In post","2021","Economics","EO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","EO","Declared non-disabled","60","60","27390","27680"
"In post","2021","Economics","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","EO","Unknown","40","40","[c]","[c]"
"In post","2021","Economics","G6/G7","Declared disabled","50","50","[c]","[c]"
"In post","2021","Economics","G6/G7","Declared non-disabled","660","640","60070","58960"
"In post","2021","Economics","G6/G7","Undeclared","50","50","[c]","[c]"
"In post","2021","Economics","G6/G7","Unknown","190","190","58430","56870"
"In post","2021","Economics","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SCS","Declared non-disabled","80","70","88190","81770"
"In post","2021","Economics","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SEO/HEO","Declared disabled","40","40","[c]","[c]"
"In post","2021","Economics","SEO/HEO","Declared non-disabled","550","550","35160","34090"
"In post","2021","Economics","SEO/HEO","Undeclared","60","60","34390","33930"
"In post","2021","Economics","SEO/HEO","Unknown","260","260","34430","33470"
"In post","2021","Economics","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","Declared disabled","130","100","21290","21440"
"In post","2021","Finance","AA/AO","Declared non-disabled","730","620","21510","21440"
"In post","2021","Finance","AA/AO","Undeclared","60","50","21560","21440"
"In post","2021","Finance","AA/AO","Unknown","260","210","21150","20640"
"In post","2021","Finance","EO","Declared disabled","150","140","26490","26670"
"In post","2021","Finance","EO","Declared non-disabled","1150","1080","26570","26670"
"In post","2021","Finance","EO","Undeclared","100","90","26940","26670"
"In post","2021","Finance","EO","Unknown","240","230","26460","26350"
"In post","2021","Finance","G6/G7","Declared disabled","150","140","57750","57400"
"In post","2021","Finance","G6/G7","Declared non-disabled","1580","1540","59390","58130"
"In post","2021","Finance","G6/G7","Undeclared","120","120","58930","57460"
"In post","2021","Finance","G6/G7","Unknown","290","290","58140","56330"
"In post","2021","Finance","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","Declared non-disabled","220","220","90150","82940"
"In post","2021","Finance","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","Unknown","30","30","[c]","[c]"
"In post","2021","Finance","SEO/HEO","Declared disabled","320","300","37360","36970"
"In post","2021","Finance","SEO/HEO","Declared non-disabled","2680","2580","37970","37410"
"In post","2021","Finance","SEO/HEO","Undeclared","230","220","38110","37040"
"In post","2021","Finance","SEO/HEO","Unknown","590","580","37090","36810"
"In post","2021","Finance","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Declared non-disabled","110","100","40890","39860"
"In post","2021","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Declared disabled","130","120","21860","21440"
"In post","2021","Human Resources","AA/AO","Declared non-disabled","790","730","21630","21130"
"In post","2021","Human Resources","AA/AO","Undeclared","70","60","21670","21130"
"In post","2021","Human Resources","AA/AO","Unknown","220","200","21590","21130"
"In post","2021","Human Resources","EO","Declared disabled","160","150","27380","26780"
"In post","2021","Human Resources","EO","Declared non-disabled","860","800","26960","26670"
"In post","2021","Human Resources","EO","Undeclared","60","60","27870","27380"
"In post","2021","Human Resources","EO","Unknown","300","290","27280","27130"
"In post","2021","Human Resources","G6/G7","Declared disabled","220","210","58390","57680"
"In post","2021","Human Resources","G6/G7","Declared non-disabled","1190","1150","58430","57460"
"In post","2021","Human Resources","G6/G7","Undeclared","70","70","59960","58700"
"In post","2021","Human Resources","G6/G7","Unknown","190","180","56840","54760"
"In post","2021","Human Resources","SCS","Declared disabled","30","30","[c]","[c]"
"In post","2021","Human Resources","SCS","Declared non-disabled","140","140","89860","83680"
"In post","2021","Human Resources","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Declared disabled","430","410","37270","36570"
"In post","2021","Human Resources","SEO/HEO","Declared non-disabled","2300","2190","36830","36330"
"In post","2021","Human Resources","SEO/HEO","Undeclared","200","190","38310","37450"
"In post","2021","Human Resources","SEO/HEO","Unknown","450","430","35830","35230"
"In post","2021","Human Resources","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","G6/G7","Declared disabled","30","30","[c]","[c]"
"In post","2021","Inspector of Education and Training","G6/G7","Declared non-disabled","460","450","75630","75500"
"In post","2021","Inspector of Education and Training","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","SEO/HEO","Declared disabled","30","30","[c]","[c]"
"In post","2021","Inspector of Education and Training","SEO/HEO","Declared non-disabled","250","240","50940","51360"
"In post","2021","Inspector of Education and Training","SEO/HEO","Unknown","60","50","51270","51360"
"In post","2021","Intelligence Analysis","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","AA/AO","Declared non-disabled","110","100","23240","21710"
"In post","2021","Intelligence Analysis","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","EO","Declared disabled","160","150","28340","27380"
"In post","2021","Intelligence Analysis","EO","Declared non-disabled","1170","1110","27700","27370"
"In post","2021","Intelligence Analysis","EO","Undeclared","150","140","28330","27380"
"In post","2021","Intelligence Analysis","EO","Unknown","90","80","27100","26350"
"In post","2021","Intelligence Analysis","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","G6/G7","Declared non-disabled","210","200","58480","58230"
"In post","2021","Intelligence Analysis","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","G6/G7","Unknown","170","160","58260","54540"
"In post","2021","Intelligence Analysis","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","SEO/HEO","Declared disabled","120","110","36850","36140"
"In post","2021","Intelligence Analysis","SEO/HEO","Declared non-disabled","900","880","36960","36150"
