"Status","Year","Sexual_orientation","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","AA/AO","Commercial","160","150","22630","21590"
"In post","2021","Heterosexual / straight","AA/AO","Communications","150","150","22340","21590"
"In post","2021","Heterosexual / straight","AA/AO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Digital, Data and Technology","270","260","22040","21580"
"In post","2021","Heterosexual / straight","AA/AO","Economics","50","50","23010","23210"
"In post","2021","Heterosexual / straight","AA/AO","Finance","720","620","21540","21440"
"In post","2021","Heterosexual / straight","AA/AO","Human Resources","910","830","21700","21130"
"In post","2021","Heterosexual / straight","AA/AO","Intelligence Analysis","110","100","23050","21580"
"In post","2021","Heterosexual / straight","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Knowledge and Information Management","250","230","22130","21130"
"In post","2021","Heterosexual / straight","AA/AO","Legal","190","170","21540","21440"
"In post","2021","Heterosexual / straight","AA/AO","Medicine","230","220","22430","22640"
"In post","2021","Heterosexual / straight","AA/AO","Operational Delivery","49420","44500","22960","21440"
"In post","2021","Heterosexual / straight","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Other","5970","5680","21060","20920"
"In post","2021","Heterosexual / straight","AA/AO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Policy","570","540","23450","23510"
"In post","2021","Heterosexual / straight","AA/AO","Project Delivery","240","220","21790","21430"
"In post","2021","Heterosexual / straight","AA/AO","Property","670","640","19610","18800"
"In post","2021","Heterosexual / straight","AA/AO","Psychology","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Science and Engineering","940","900","21590","21580"
"In post","2021","Heterosexual / straight","AA/AO","Security","3840","3760","26050","21370"
"In post","2021","Heterosexual / straight","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Tax","1230","1150","20300","20140"
"In post","2021","Heterosexual / straight","AA/AO","Unknown","20090","17610","21280","21010"
"In post","2021","Heterosexual / straight","AA/AO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Commercial","510","490","25970","26400"
"In post","2021","Heterosexual / straight","EO","Communications","400","380","27420","26930"
"In post","2021","Heterosexual / straight","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Counter Fraud","140","130","26450","25580"
"In post","2021","Heterosexual / straight","EO","Digital, Data and Technology","1340","1290","27550","26670"
"In post","2021","Heterosexual / straight","EO","Economics","70","70","27320","27680"
"In post","2021","Heterosexual / straight","EO","Finance","1220","1160","26510","26670"
"In post","2021","Heterosexual / straight","EO","Human Resources","1020","960","27040","26670"
"In post","2021","Heterosexual / straight","EO","Intelligence Analysis","1180","1120","27730","27370"
"In post","2021","Heterosexual / straight","EO","Internal Audit","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","International Trade","60","60","26570","26250"
"In post","2021","Heterosexual / straight","EO","Knowledge and Information Management","330","320","26860","26670"
"In post","2021","Heterosexual / straight","EO","Legal","1140","1100","27400","25820"
"In post","2021","Heterosexual / straight","EO","Medicine","250","230","30510","30620"
"In post","2021","Heterosexual / straight","EO","Operational Delivery","30010","27880","27600","26780"
"In post","2021","Heterosexual / straight","EO","Operational Research","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Other","3800","3610","26220","26670"
"In post","2021","Heterosexual / straight","EO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Policy","1830","1770","28400","28670"
"In post","2021","Heterosexual / straight","EO","Project Delivery","1450","1390","26530","26670"
"In post","2021","Heterosexual / straight","EO","Property","990","930","27050","26670"
"In post","2021","Heterosexual / straight","EO","Psychology","310","300","26590","26330"
"In post","2021","Heterosexual / straight","EO","Science and Engineering","1280","1250","25750","26370"
"In post","2021","Heterosexual / straight","EO","Security","820","800","32550","28720"
"In post","2021","Heterosexual / straight","EO","Social Research","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Statistics","160","150","28090","28410"
"In post","2021","Heterosexual / straight","EO","Tax","2050","1890","26640","25560"
"In post","2021","Heterosexual / straight","EO","Unknown","34780","31850","28080","27570"
"In post","2021","Heterosexual / straight","EO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","Commercial","700","680","60090","57530"
"In post","2021","Heterosexual / straight","G6/G7","Communications","600","580","58280","57270"
"In post","2021","Heterosexual / straight","G6/G7","Corporate Finance","60","60","57220","56350"
"In post","2021","Heterosexual / straight","G6/G7","Counter Fraud","80","80","62080","59050"
"In post","2021","Heterosexual / straight","G6/G7","Digital, Data and Technology","2200","2160","58410","57280"
"In post","2021","Heterosexual / straight","G6/G7","Economics","630","610","59730","58030"
"In post","2021","Heterosexual / straight","G6/G7","Finance","1540","1510","59220","58120"
"In post","2021","Heterosexual / straight","G6/G7","Human Resources","1310","1260","58420","57460"
"In post","2021","Heterosexual / straight","G6/G7","Inspector of Education and Training","430","420","75450","75500"
"In post","2021","Heterosexual / straight","G6/G7","Intelligence Analysis","240","230","58440","57860"
"In post","2021","Heterosexual / straight","G6/G7","Internal Audit","160","160","58510","56610"
"In post","2021","Heterosexual / straight","G6/G7","International Trade","350","350","55850","53550"
"In post","2021","Heterosexual / straight","G6/G7","Knowledge and Information Management","280","260","57710","55550"
"In post","2021","Heterosexual / straight","G6/G7","Legal","3890","3610","58660","57000"
"In post","2021","Heterosexual / straight","G6/G7","Medicine","460","410","73960","74490"
