"Status","Year","Parent_department","Disability","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Declared disabled","Asian","80","70","43210","39540"
"In post","2021","Attorney General's Departments","Declared disabled","Black","60","60","40660","35020"
"In post","2021","Attorney General's Departments","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Mixed","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Unknown","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","White","690","640","44610","43920"
"In post","2021","Attorney General's Departments","Declared non-disabled","Asian","660","610","43410","48080"
"In post","2021","Attorney General's Departments","Declared non-disabled","Black","420","400","41460","33310"
"In post","2021","Attorney General's Departments","Declared non-disabled","Chinese","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Mixed","200","190","47960","51070"
"In post","2021","Attorney General's Departments","Declared non-disabled","Other ethnicity","80","70","49140","51250"
"In post","2021","Attorney General's Departments","Declared non-disabled","Undeclared","100","100","45070","48830"
"In post","2021","Attorney General's Departments","Declared non-disabled","Unknown","340","320","43860","39800"
"In post","2021","Attorney General's Departments","Declared non-disabled","White","4920","4550","46730","50500"
"In post","2021","Attorney General's Departments","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","White","80","80","54500","52420"
