"Status","Year","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Commercial","230","230","39160","36780"
"In post","2021","Asian","Communications","180","170","39500","36160"
"In post","2021","Asian","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","50","50","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","870","850","42370","38630"
"In post","2021","Asian","Economics","180","180","44530","41000"
"In post","2021","Asian","Finance","750","730","39930","36500"
"In post","2021","Asian","Human Resources","410","390","37380","34000"
"In post","2021","Asian","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","190","180","32790","29250"
"In post","2021","Asian","Internal Audit","80","70","46610","44310"
"In post","2021","Asian","International Trade","110","110","42870","38160"
"In post","2021","Asian","Knowledge and Information Management","120","110","34290","32340"
"In post","2021","Asian","Legal","880","830","47400","48830"
"In post","2021","Asian","Medicine","190","180","72500","77320"
"In post","2021","Asian","Operational Delivery","10070","9220","27920","25630"
"In post","2021","Asian","Operational Research","50","50","[c]","[c]"
"In post","2021","Asian","Other","850","810","32850","28850"
"In post","2021","Asian","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","1920","1870","42950","38740"
"In post","2021","Asian","Project Delivery","820","800","40780","38060"
"In post","2021","Asian","Property","240","240","36900","33150"
"In post","2021","Asian","Psychology","40","40","[c]","[c]"
"In post","2021","Asian","Science and Engineering","570","550","36520","33480"
"In post","2021","Asian","Security","290","280","30660","27720"
"In post","2021","Asian","Social Research","30","30","[c]","[c]"
"In post","2021","Asian","Statistics","140","130","41890","39100"
"In post","2021","Asian","Tax","1390","1320","32640","31810"
"In post","2021","Asian","Unknown","8470","7710","29230","27570"
"In post","2021","Asian","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","180","180","38140","36010"
"In post","2021","Black","Communications","110","110","38430","36320"
"In post","2021","Black","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","400","400","40290","37240"
"In post","2021","Black","Economics","60","60","38110","33210"
"In post","2021","Black","Finance","370","370","39750","36810"
"In post","2021","Black","Human Resources","290","280","37930","34710"
"In post","2021","Black","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","60","60","33580","30560"
"In post","2021","Black","Internal Audit","30","30","[c]","[c]"
"In post","2021","Black","International Trade","50","50","42650","38540"
"In post","2021","Black","Knowledge and Information Management","70","70","34260","31390"
"In post","2021","Black","Legal","420","410","48610","50520"
"In post","2021","Black","Medicine","60","60","71280","68120"
"In post","2021","Black","Operational Delivery","5860","5550","29320","27490"
"In post","2021","Black","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","Other","520","510","30900","28660"
"In post","2021","Black","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Black","Policy","1090","1080","39120","35070"
"In post","2021","Black","Project Delivery","490","490","39910","37570"
"In post","2021","Black","Property","130","120","36660","33680"
"In post","2021","Black","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Black","Science and Engineering","280","270","36910","34830"
"In post","2021","Black","Security","120","120","30590","25630"
"In post","2021","Black","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","Statistics","60","60","40310","38630"
"In post","2021","Black","Tax","430","420","32230","31810"
"In post","2021","Black","Unknown","4360","4140","30180","30330"
"In post","2021","Black","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","[c]","[c]","[c]","[c]"
