"Status","Year","Disability","Region_ITL3","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Department for Work and Pensions","50","50","30950","27570"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Scottish Government","60","50","35350","33640"
"In post","2021","Declared disabled","Angus and Dundee City","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Department for Work and Pensions","170","150","23340","21010"
"In post","2021","Declared disabled","Angus and Dundee City","HM Revenue and Customs","30","30","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Scottish Government","50","50","27510","23340"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Department for Work and Pensions","80","70","31180","31060"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Ministry of Justice","[c]","[c]","[c]","[c]"
