"Status","Year","Ethnicity","Responsibility_level","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","AA/AO","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Barnet","90","80","23930","23530"
"In post","2021","Asian","AA/AO","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Berkshire","90","80","23840","22980"
"In post","2021","Asian","AA/AO","Bexley and Greenwich","40","30","[c]","[c]"
"In post","2021","Asian","AA/AO","Birmingham","960","860","20490","20140"
"In post","2021","Asian","AA/AO","Blackburn with Darwen","50","30","[c]","[c]"
"In post","2021","Asian","AA/AO","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Bradford","340","280","20400","20140"
"In post","2021","Asian","AA/AO","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Brent","40","30","[c]","[c]"
"In post","2021","Asian","AA/AO","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Bristol, City of","40","40","[c]","[c]"
"In post","2021","Asian","AA/AO","Bromley","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Buckinghamshire CC","30","30","[c]","[c]"
"In post","2021","Asian","AA/AO","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Camden and City of London","160","140","23710","23500"
"In post","2021","Asian","AA/AO","Cardiff and Vale of Glamorgan","100","80","20550","20140"
"In post","2021","Asian","AA/AO","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Coventry","50","40","21180","21010"
"In post","2021","Asian","AA/AO","Croydon","430","380","24750","25630"
"In post","2021","Asian","AA/AO","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Derby","50","40","21030","21010"
"In post","2021","Asian","AA/AO","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Dudley","50","50","20430","20180"
"In post","2021","Asian","AA/AO","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Durham CC","40","30","[c]","[c]"
"In post","2021","Asian","AA/AO","Ealing","30","30","[c]","[c]"
"In post","2021","Asian","AA/AO","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Glasgow City","80","70","20910","21010"
"In post","2021","Asian","AA/AO","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Greater Manchester North West","40","30","[c]","[c]"
"In post","2021","Asian","AA/AO","Greater Manchester South East","50","40","[c]","[c]"
"In post","2021","Asian","AA/AO","Greater Manchester South West","150","130","20490","20140"
"In post","2021","Asian","AA/AO","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Hackney and Newham","220","180","24350","25110"
"In post","2021","Asian","AA/AO","Haringey and Islington","70","60","26040","23500"
"In post","2021","Asian","AA/AO","Harrow and Hillingdon","260","230","25020","25630"
"In post","2021","Asian","AA/AO","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Hertfordshire","80","80","24800","25070"
"In post","2021","Asian","AA/AO","Hounslow and Richmond upon Thames","240","220","24910","24590"
"In post","2021","Asian","AA/AO","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Kensington & Chelsea and Hammersmith & Fulham","50","50","[c]","[c]"
"In post","2021","Asian","AA/AO","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Lambeth","40","40","[c]","[c]"
"In post","2021","Asian","AA/AO","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Leeds","210","190","21010","20880"
"In post","2021","Asian","AA/AO","Leicester","450","380","20550","20640"
"In post","2021","Asian","AA/AO","Leicestershire CC and Rutland","60","50","20620","20100"
"In post","2021","Asian","AA/AO","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Liverpool","40","30","[c]","[c]"
"In post","2021","Asian","AA/AO","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Luton","30","30","[c]","[c]"
"In post","2021","Asian","AA/AO","Manchester","140","130","20510","20140"
