"Status","Year","Disability","Sex","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Female","Bedfordshire and Hertfordshire","330","300","30360","29290"
"In post","2021","Declared disabled","Female","Berkshire, Buckinghamshire and Oxfordshire","560","510","30960","28200"
"In post","2021","Declared disabled","Female","Cheshire","270","240","28350","27570"
"In post","2021","Declared disabled","Female","Cornwall and Isles of Scilly","130","110","26430","27570"
"In post","2021","Declared disabled","Female","Cumbria","140","120","26970","24920"
"In post","2021","Declared disabled","Female","Derbyshire and Nottinghamshire","950","840","29660","27570"
"In post","2021","Declared disabled","Female","Devon","530","450","27430","26670"
"In post","2021","Declared disabled","Female","Dorset and Somerset","330","290","27710","27150"
"In post","2021","Declared disabled","Female","East Anglia","760","680","28220","27570"
"In post","2021","Declared disabled","Female","East Wales","1060","950","30430","27570"
"In post","2021","Declared disabled","Female","East Yorkshire and Northern Lincolnshire","280","240","26580","27570"
"In post","2021","Declared disabled","Female","Eastern Scotland","1100","1000","31990","27570"
"In post","2021","Declared disabled","Female","Essex","470","410","29320","29290"
"In post","2021","Declared disabled","Female","Gloucestershire, Wiltshire and Bath/Bristol area","1540","1400","32670","28880"
"In post","2021","Declared disabled","Female","Greater Manchester","1250","1120","29130","27570"
"In post","2021","Declared disabled","Female","Hampshire and Isle of Wight","920","810","29680","27570"
"In post","2021","Declared disabled","Female","Herefordshire, Worcestershire and Warwickshire","290","260","26970","26300"
"In post","2021","Declared disabled","Female","Highlands and Islands","90","80","27970","27570"
"In post","2021","Declared disabled","Female","Inner London - East","980","910","36590","31090"
"In post","2021","Declared disabled","Female","Inner London - West","2910","2780","43940","39190"
"In post","2021","Declared disabled","Female","Kent","530","480","28800","27380"
"In post","2021","Declared disabled","Female","Lancashire","1230","1060","26680","27130"
"In post","2021","Declared disabled","Female","Leicestershire, Rutland and Northamptonshire","460","400","25770","24000"
"In post","2021","Declared disabled","Female","Lincolnshire","240","210","27230","26810"
"In post","2021","Declared disabled","Female","Merseyside","1460","1240","27420","25560"
"In post","2021","Declared disabled","Female","North Eastern Scotland","80","70","29420","27570"
"In post","2021","Declared disabled","Female","North Yorkshire","280","260","33090","27570"
"In post","2021","Declared disabled","Female","Northern Ireland","170","160","28530","25560"
"In post","2021","Declared disabled","Female","Northumberland and Tyne and Wear","1440","1220","26640","25560"
"In post","2021","Declared disabled","Female","Outer London - East and North East","340","310","30020","31060"
"In post","2021","Declared disabled","Female","Outer London - South","660","590","34560","31060"
"In post","2021","Declared disabled","Female","Outer London - West and North West","500","450","31340","31060"
"In post","2021","Declared disabled","Female","Overseas","90","90","47880","51500"
"In post","2021","Declared disabled","Female","Shropshire and Staffordshire","620","560","28920","27570"
"In post","2021","Declared disabled","Female","South Yorkshire","760","650","29430","27570"
"In post","2021","Declared disabled","Female","Southern Scotland","320","280","28650","26160"
