"Status","Year","Sexual_orientation","Organisation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Accountant in Bankruptcy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Accountant in Bankruptcy","Declared non-disabled","50","50","33060","29190"
"In post","2021","Heterosexual / straight","Accountant in Bankruptcy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","Declared disabled","90","80","32080","30950"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","Declared non-disabled","190","180","34500","30950"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","Unknown","340","310","35680","34500"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","Declared disabled","260","240","28170","25190"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","Declared non-disabled","1550","1470","30860","28030"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","Undeclared","60","50","29490","26190"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Declared disabled","530","500","43730","37300"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Declared non-disabled","3690","3590","48720","41820"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Undeclared","140","140","44260","38580"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Unknown","60","60","48480","49700"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","200","190","34430","30220"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Declared non-disabled","180","170","35150","29160"
"In post","2021","Heterosexual / straight","Charity Commission","Unknown","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Companies House","Declared disabled","60","50","32520","25870"
"In post","2021","Heterosexual / straight","Companies House","Declared non-disabled","610","560","32110","27460"
"In post","2021","Heterosexual / straight","Companies House","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Declared non-disabled","610","590","59400","56190"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Unknown","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","Declared non-disabled","130","120","28200","22720"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","Undeclared","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Declared disabled","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Declared non-disabled","180","170","41240","35460"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Unknown","330","320","37050","34800"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Declared disabled","80","70","37880","33300"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Declared non-disabled","1580","1460","35100","29040"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Undeclared","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Unknown","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Declared disabled","550","510","41870","38000"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Declared non-disabled","3370","3130","42100","38180"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Unknown","850","830","35890","32280"
"In post","2021","Heterosexual / straight","Crown Prosecution Service Inspectorate","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service Inspectorate","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Declared non-disabled","110","110","28830","27460"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Declared disabled","830","800","35390","33130"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Declared non-disabled","6880","6660","36620","33740"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Undeclared","270","260","37260","35230"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Unknown","480","460","36080","33680"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Declared disabled","380","360","38230","37320"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Declared non-disabled","2530","2420","40670","37700"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Undeclared","110","100","41190","46080"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Unknown","70","60","34880","28660"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Declared disabled","340","330","47610","43040"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Declared non-disabled","3030","2950","50200","53380"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","100","100","49400","49080"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","310","300","44500","40050"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Declared disabled","80","80","48390","39360"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Declared non-disabled","1110","1090","49900","51730"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Undeclared","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Declared disabled","390","370","41600","36960"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Declared non-disabled","2990","2870","45690","42420"
