"Status","Year","Ethnicity","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Female","Commercial","120","110","38000","35190"
"In post","2021","Asian","Female","Communications","110","100","40290","37210"
"In post","2021","Asian","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Digital, Data and Technology","330","320","42430","38180"
"In post","2021","Asian","Female","Economics","70","70","46210","52360"
"In post","2021","Asian","Female","Finance","370","350","38240","35200"
"In post","2021","Asian","Female","Human Resources","300","290","37340","34640"
"In post","2021","Asian","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Intelligence Analysis","110","100","32960","29480"
"In post","2021","Asian","Female","Internal Audit","40","40","[c]","[c]"
"In post","2021","Asian","Female","International Trade","60","60","43650","38540"
"In post","2021","Asian","Female","Knowledge and Information Management","70","70","34010","32330"
"In post","2021","Asian","Female","Legal","570","520","48370","50520"
"In post","2021","Asian","Female","Medicine","130","110","69750","71460"
"In post","2021","Asian","Female","Operational Delivery","5730","5070","27360","25630"
"In post","2021","Asian","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Other","480","450","32940","29060"
"In post","2021","Asian","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Policy","1160","1120","42580","38800"
"In post","2021","Asian","Female","Project Delivery","440","420","40080","36800"
"In post","2021","Asian","Female","Property","110","100","35700","31660"
"In post","2021","Asian","Female","Psychology","30","30","[c]","[c]"
"In post","2021","Asian","Female","Science and Engineering","290","280","36080","33090"
"In post","2021","Asian","Female","Security","90","80","34410","31390"
"In post","2021","Asian","Female","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Statistics","70","60","42120","38530"
"In post","2021","Asian","Female","Tax","590","540","31770","31810"
"In post","2021","Asian","Female","Unknown","4970","4310","29010","27570"
"In post","2021","Asian","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Commercial","110","110","40420","38280"
"In post","2021","Asian","Male","Communications","70","70","38220","33830"
"In post","2021","Asian","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Digital, Data and Technology","540","540","42330","39070"
"In post","2021","Asian","Male","Economics","110","110","43430","36250"
"In post","2021","Asian","Male","Finance","380","380","41590","38060"
"In post","2021","Asian","Male","Human Resources","110","110","37510","33000"
"In post","2021","Asian","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Intelligence Analysis","80","80","32560","29080"
"In post","2021","Asian","Male","Internal Audit","40","40","[c]","[c]"
"In post","2021","Asian","Male","International Trade","50","50","42010","37160"
"In post","2021","Asian","Male","Knowledge and Information Management","50","50","[c]","[c]"
"In post","2021","Asian","Male","Legal","320","310","45680","46020"
"In post","2021","Asian","Male","Medicine","70","60","77760","78890"
"In post","2021","Asian","Male","Operational Delivery","4350","4150","28670","25630"
"In post","2021","Asian","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Other","370","360","32740","28670"
"In post","2021","Asian","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Policy","760","760","43510","38650"
"In post","2021","Asian","Male","Project Delivery","380","380","41580","38630"
"In post","2021","Asian","Male","Property","130","130","37880","33750"
"In post","2021","Asian","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Science and Engineering","280","270","37000","35890"
"In post","2021","Asian","Male","Security","200","200","29020","25540"
"In post","2021","Asian","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Statistics","70","70","41690","40480"
"In post","2021","Asian","Male","Tax","800","770","33270","31810"
"In post","2021","Asian","Male","Unknown","3500","3400","29550","27570"
"In post","2021","Asian","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Commercial","120","120","36990","34900"
"In post","2021","Black","Female","Communications","80","80","37710","35010"
"In post","2021","Black","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Digital, Data and Technology","160","150","40320","38630"
